,HR,time
0,69.53,2021-12-17 17:32:59
1,69.92,2021-12-17 17:33:00
2,70.38,2021-12-17 17:33:01
3,70.9,2021-12-17 17:33:02
4,71.58,2021-12-17 17:33:03
5,72.27,2021-12-17 17:33:04
6,72.95,2021-12-17 17:33:05
7,73.63,2021-12-17 17:33:06
8,74.32,2021-12-17 17:33:07
9,75.03,2021-12-17 17:33:08
10,75.72,2021-12-17 17:33:09
11,76.17,2021-12-17 17:33:10
12,76.62,2021-12-17 17:33:11
13,77.03,2021-12-17 17:33:12
14,77.28,2021-12-17 17:33:13
15,77.5,2021-12-17 17:33:14
16,77.77,2021-12-17 17:33:15
17,78.07,2021-12-17 17:33:16
18,78.35,2021-12-17 17:33:17
19,78.6,2021-12-17 17:33:18
20,78.83,2021-12-17 17:33:19
21,79.0,2021-12-17 17:33:20
22,79.27,2021-12-17 17:33:21
23,79.52,2021-12-17 17:33:22
24,79.75,2021-12-17 17:33:23
25,79.95,2021-12-17 17:33:24
26,80.13,2021-12-17 17:33:25
27,80.38,2021-12-17 17:33:26
28,80.63,2021-12-17 17:33:27
29,80.87,2021-12-17 17:33:28
30,81.0,2021-12-17 17:33:29
31,81.63,2021-12-17 17:33:30
32,82.45,2021-12-17 17:33:31
33,83.23,2021-12-17 17:33:32
34,84.05,2021-12-17 17:33:33
35,84.87,2021-12-17 17:33:34
36,85.7,2021-12-17 17:33:35
37,86.58,2021-12-17 17:33:36
38,87.47,2021-12-17 17:33:37
39,88.35,2021-12-17 17:33:38
40,89.27,2021-12-17 17:33:39
41,90.17,2021-12-17 17:33:40
42,91.23,2021-12-17 17:33:41
43,92.08,2021-12-17 17:33:42
44,93.0,2021-12-17 17:33:43
45,94.0,2021-12-17 17:33:44
46,94.98,2021-12-17 17:33:45
47,95.98,2021-12-17 17:33:46
48,96.92,2021-12-17 17:33:47
49,97.52,2021-12-17 17:33:48
50,98.1,2021-12-17 17:33:49
51,98.7,2021-12-17 17:33:50
52,99.33,2021-12-17 17:33:51
53,99.87,2021-12-17 17:33:52
54,100.42,2021-12-17 17:33:53
55,100.92,2021-12-17 17:33:54
56,101.43,2021-12-17 17:33:55
57,101.97,2021-12-17 17:33:56
58,102.4,2021-12-17 17:33:57
59,103.0,2021-12-17 17:33:58
60,103.67,2021-12-17 17:33:59
61,104.25,2021-12-17 17:34:00
62,104.78,2021-12-17 17:34:01
63,105.23,2021-12-17 17:34:02
64,105.48,2021-12-17 17:34:03
65,105.47,2021-12-17 17:34:04
66,105.45,2021-12-17 17:34:05
67,105.38,2021-12-17 17:34:06
68,105.32,2021-12-17 17:34:07
69,105.25,2021-12-17 17:34:08
70,105.25,2021-12-17 17:34:09
71,105.33,2021-12-17 17:34:10
72,105.42,2021-12-17 17:34:11
73,105.52,2021-12-17 17:34:12
74,105.63,2021-12-17 17:34:13
75,105.85,2021-12-17 17:34:14
76,106.03,2021-12-17 17:34:15
77,106.18,2021-12-17 17:34:16
78,106.37,2021-12-17 17:34:17
79,106.55,2021-12-17 17:34:18
80,106.75,2021-12-17 17:34:19
81,107.03,2021-12-17 17:34:20
82,107.38,2021-12-17 17:34:21
83,107.7,2021-12-17 17:34:22
84,108.05,2021-12-17 17:34:23
85,108.42,2021-12-17 17:34:24
86,108.88,2021-12-17 17:34:25
87,109.27,2021-12-17 17:34:26
88,109.67,2021-12-17 17:34:27
89,110.12,2021-12-17 17:34:28
90,110.35,2021-12-17 17:34:29
91,110.57,2021-12-17 17:34:30
92,110.55,2021-12-17 17:34:31
93,110.52,2021-12-17 17:34:32
94,110.32,2021-12-17 17:34:33
95,110.07,2021-12-17 17:34:34
96,109.87,2021-12-17 17:34:35
97,109.6,2021-12-17 17:34:36
98,109.57,2021-12-17 17:34:37
99,109.58,2021-12-17 17:34:38
100,109.58,2021-12-17 17:34:39
101,109.68,2021-12-17 17:34:40
102,109.63,2021-12-17 17:34:41
103,109.45,2021-12-17 17:34:42
104,109.43,2021-12-17 17:34:43
105,109.43,2021-12-17 17:34:44
106,109.47,2021-12-17 17:34:45
107,109.5,2021-12-17 17:34:46
108,109.55,2021-12-17 17:34:47
109,109.58,2021-12-17 17:34:48
110,109.62,2021-12-17 17:34:49
111,109.6,2021-12-17 17:34:50
112,109.55,2021-12-17 17:34:51
113,109.48,2021-12-17 17:34:52
114,109.37,2021-12-17 17:34:53
115,109.28,2021-12-17 17:34:54
116,109.18,2021-12-17 17:34:55
117,109.05,2021-12-17 17:34:56
118,109.05,2021-12-17 17:34:57
119,108.92,2021-12-17 17:34:58
120,108.78,2021-12-17 17:34:59
121,108.72,2021-12-17 17:35:00
122,108.63,2021-12-17 17:35:01
123,108.55,2021-12-17 17:35:02
124,108.52,2021-12-17 17:35:03
125,108.77,2021-12-17 17:35:04
126,109.18,2021-12-17 17:35:05
127,109.63,2021-12-17 17:35:06
128,110.05,2021-12-17 17:35:07
129,110.47,2021-12-17 17:35:08
130,110.85,2021-12-17 17:35:09
131,111.2,2021-12-17 17:35:10
132,111.57,2021-12-17 17:35:11
133,111.92,2021-12-17 17:35:12
134,112.23,2021-12-17 17:35:13
135,112.5,2021-12-17 17:35:14
136,112.8,2021-12-17 17:35:15
137,113.03,2021-12-17 17:35:16
138,113.23,2021-12-17 17:35:17
139,113.78,2021-12-17 17:35:18
140,114.3,2021-12-17 17:35:19
141,114.77,2021-12-17 17:35:20
142,115.08,2021-12-17 17:35:21
143,115.45,2021-12-17 17:35:22
144,115.35,2021-12-17 17:35:23
145,115.23,2021-12-17 17:35:24
146,114.98,2021-12-17 17:35:25
147,114.85,2021-12-17 17:35:26
148,114.73,2021-12-17 17:35:27
149,114.68,2021-12-17 17:35:28
150,114.9,2021-12-17 17:35:29
151,115.12,2021-12-17 17:35:30
152,115.35,2021-12-17 17:35:31
153,115.63,2021-12-17 17:35:32
154,116.03,2021-12-17 17:35:33
155,116.48,2021-12-17 17:35:34
156,116.97,2021-12-17 17:35:35
157,117.53,2021-12-17 17:35:36
158,117.9,2021-12-17 17:35:37
159,118.2,2021-12-17 17:35:38
160,118.48,2021-12-17 17:35:39
161,118.72,2021-12-17 17:35:40
162,118.92,2021-12-17 17:35:41
163,119.25,2021-12-17 17:35:42
164,119.38,2021-12-17 17:35:43
165,118.47,2021-12-17 17:35:44
166,117.52,2021-12-17 17:35:45
167,116.55,2021-12-17 17:35:46
168,115.6,2021-12-17 17:35:47
169,114.65,2021-12-17 17:35:48
170,113.72,2021-12-17 17:35:49
171,112.83,2021-12-17 17:35:50
172,111.97,2021-12-17 17:35:51
173,111.1,2021-12-17 17:35:52
174,110.25,2021-12-17 17:35:53
175,109.37,2021-12-17 17:35:54
176,108.52,2021-12-17 17:35:55
177,107.7,2021-12-17 17:35:56
178,106.88,2021-12-17 17:35:57
179,106.08,2021-12-17 17:35:58
180,105.25,2021-12-17 17:35:59
181,104.38,2021-12-17 17:36:00
182,103.48,2021-12-17 17:36:01
183,102.63,2021-12-17 17:36:02
184,101.77,2021-12-17 17:36:03
185,100.9,2021-12-17 17:36:04
186,99.88,2021-12-17 17:36:05
187,98.87,2021-12-17 17:36:06
188,97.9,2021-12-17 17:36:07
189,96.88,2021-12-17 17:36:08
190,95.87,2021-12-17 17:36:09
191,94.85,2021-12-17 17:36:10
192,93.82,2021-12-17 17:36:11
193,92.8,2021-12-17 17:36:12
194,91.77,2021-12-17 17:36:13
195,90.75,2021-12-17 17:36:14
196,89.68,2021-12-17 17:36:15
197,88.72,2021-12-17 17:36:16
198,87.77,2021-12-17 17:36:17
199,86.52,2021-12-17 17:36:18
200,85.3,2021-12-17 17:36:19
201,84.08,2021-12-17 17:36:20
