,TEMP,time
0,30.15,2021-12-17 17:32:58.250
1,30.15,2021-12-17 17:32:58.500
2,30.15,2021-12-17 17:32:58.750
3,30.13,2021-12-17 17:32:59.000
4,30.13,2021-12-17 17:32:59.250
5,30.13,2021-12-17 17:32:59.500
6,30.13,2021-12-17 17:32:59.750
7,30.15,2021-12-17 17:33:00.000
8,30.15,2021-12-17 17:33:00.250
9,30.15,2021-12-17 17:33:00.500
10,30.15,2021-12-17 17:33:00.750
11,30.19,2021-12-17 17:33:01.000
12,30.19,2021-12-17 17:33:01.250
13,30.19,2021-12-17 17:33:01.500
14,30.19,2021-12-17 17:33:01.750
15,30.17,2021-12-17 17:33:02.000
16,30.17,2021-12-17 17:33:02.250
17,30.17,2021-12-17 17:33:02.500
18,30.17,2021-12-17 17:33:02.750
19,30.21,2021-12-17 17:33:03.000
20,30.21,2021-12-17 17:33:03.250
21,30.21,2021-12-17 17:33:03.500
22,30.21,2021-12-17 17:33:03.750
23,30.23,2021-12-17 17:33:04.000
24,30.23,2021-12-17 17:33:04.250
25,30.23,2021-12-17 17:33:04.500
26,30.23,2021-12-17 17:33:04.750
27,30.21,2021-12-17 17:33:05.000
28,30.21,2021-12-17 17:33:05.250
29,30.21,2021-12-17 17:33:05.500
30,30.21,2021-12-17 17:33:05.750
31,30.19,2021-12-17 17:33:06.000
32,30.19,2021-12-17 17:33:06.250
33,30.19,2021-12-17 17:33:06.500
34,30.19,2021-12-17 17:33:06.750
35,30.21,2021-12-17 17:33:07.000
36,30.21,2021-12-17 17:33:07.250
37,30.21,2021-12-17 17:33:07.500
38,30.21,2021-12-17 17:33:07.750
39,30.21,2021-12-17 17:33:08.000
40,30.21,2021-12-17 17:33:08.250
41,30.21,2021-12-17 17:33:08.500
42,30.21,2021-12-17 17:33:08.750
43,30.23,2021-12-17 17:33:09.000
44,30.23,2021-12-17 17:33:09.250
45,30.23,2021-12-17 17:33:09.500
46,30.23,2021-12-17 17:33:09.750
47,30.21,2021-12-17 17:33:10.000
48,30.21,2021-12-17 17:33:10.250
49,30.21,2021-12-17 17:33:10.500
50,30.21,2021-12-17 17:33:10.750
51,30.19,2021-12-17 17:33:11.000
52,30.19,2021-12-17 17:33:11.250
53,30.19,2021-12-17 17:33:11.500
54,30.19,2021-12-17 17:33:11.750
55,30.21,2021-12-17 17:33:12.000
56,30.21,2021-12-17 17:33:12.250
57,30.21,2021-12-17 17:33:12.500
58,30.21,2021-12-17 17:33:12.750
59,30.17,2021-12-17 17:33:13.000
60,30.17,2021-12-17 17:33:13.250
61,30.17,2021-12-17 17:33:13.500
62,30.17,2021-12-17 17:33:13.750
63,30.21,2021-12-17 17:33:14.000
64,30.21,2021-12-17 17:33:14.250
65,30.21,2021-12-17 17:33:14.500
66,30.21,2021-12-17 17:33:14.750
67,30.21,2021-12-17 17:33:15.000
68,30.21,2021-12-17 17:33:15.250
69,30.21,2021-12-17 17:33:15.500
70,30.21,2021-12-17 17:33:15.750
71,30.19,2021-12-17 17:33:16.000
72,30.19,2021-12-17 17:33:16.250
73,30.19,2021-12-17 17:33:16.500
74,30.19,2021-12-17 17:33:16.750
75,30.19,2021-12-17 17:33:17.000
76,30.19,2021-12-17 17:33:17.250
77,30.19,2021-12-17 17:33:17.500
78,30.19,2021-12-17 17:33:17.750
79,30.19,2021-12-17 17:33:18.000
80,30.19,2021-12-17 17:33:18.250
81,30.19,2021-12-17 17:33:18.500
82,30.19,2021-12-17 17:33:18.750
83,30.17,2021-12-17 17:33:19.000
84,30.17,2021-12-17 17:33:19.250
85,30.17,2021-12-17 17:33:19.500
86,30.17,2021-12-17 17:33:19.750
87,30.19,2021-12-17 17:33:20.000
88,30.19,2021-12-17 17:33:20.250
89,30.19,2021-12-17 17:33:20.500
90,30.19,2021-12-17 17:33:20.750
91,30.21,2021-12-17 17:33:21.000
92,30.21,2021-12-17 17:33:21.250
93,30.21,2021-12-17 17:33:21.500
94,30.21,2021-12-17 17:33:21.750
95,30.17,2021-12-17 17:33:22.000
96,30.17,2021-12-17 17:33:22.250
97,30.17,2021-12-17 17:33:22.500
98,30.17,2021-12-17 17:33:22.750
99,30.17,2021-12-17 17:33:23.000
100,30.17,2021-12-17 17:33:23.250
101,30.17,2021-12-17 17:33:23.500
102,30.17,2021-12-17 17:33:23.750
103,30.17,2021-12-17 17:33:24.000
104,30.17,2021-12-17 17:33:24.250
105,30.17,2021-12-17 17:33:24.500
106,30.17,2021-12-17 17:33:24.750
107,30.15,2021-12-17 17:33:25.000
108,30.15,2021-12-17 17:33:25.250
109,30.15,2021-12-17 17:33:25.500
110,30.15,2021-12-17 17:33:25.750
111,30.17,2021-12-17 17:33:26.000
112,30.17,2021-12-17 17:33:26.250
113,30.17,2021-12-17 17:33:26.500
114,30.17,2021-12-17 17:33:26.750
115,30.17,2021-12-17 17:33:27.000
116,30.17,2021-12-17 17:33:27.250
117,30.17,2021-12-17 17:33:27.500
118,30.17,2021-12-17 17:33:27.750
119,30.15,2021-12-17 17:33:28.000
120,30.15,2021-12-17 17:33:28.250
121,30.15,2021-12-17 17:33:28.500
122,30.15,2021-12-17 17:33:28.750
123,30.15,2021-12-17 17:33:29.000
124,30.15,2021-12-17 17:33:29.250
125,30.15,2021-12-17 17:33:29.500
126,30.15,2021-12-17 17:33:29.750
127,30.17,2021-12-17 17:33:30.000
128,30.17,2021-12-17 17:33:30.250
129,30.17,2021-12-17 17:33:30.500
130,30.17,2021-12-17 17:33:30.750
131,30.15,2021-12-17 17:33:31.000
132,30.15,2021-12-17 17:33:31.250
133,30.15,2021-12-17 17:33:31.500
134,30.15,2021-12-17 17:33:31.750
135,30.13,2021-12-17 17:33:32.000
136,30.13,2021-12-17 17:33:32.250
137,30.13,2021-12-17 17:33:32.500
138,30.13,2021-12-17 17:33:32.750
139,30.13,2021-12-17 17:33:33.000
140,30.13,2021-12-17 17:33:33.250
141,30.13,2021-12-17 17:33:33.500
142,30.13,2021-12-17 17:33:33.750
143,30.15,2021-12-17 17:33:34.000
144,30.15,2021-12-17 17:33:34.250
145,30.15,2021-12-17 17:33:34.500
146,30.15,2021-12-17 17:33:34.750
147,30.15,2021-12-17 17:33:35.000
148,30.15,2021-12-17 17:33:35.250
149,30.15,2021-12-17 17:33:35.500
150,30.15,2021-12-17 17:33:35.750
151,30.13,2021-12-17 17:33:36.000
152,30.13,2021-12-17 17:33:36.250
153,30.13,2021-12-17 17:33:36.500
154,30.13,2021-12-17 17:33:36.750
155,30.17,2021-12-17 17:33:37.000
156,30.17,2021-12-17 17:33:37.250
157,30.17,2021-12-17 17:33:37.500
158,30.17,2021-12-17 17:33:37.750
159,30.15,2021-12-17 17:33:38.000
160,30.15,2021-12-17 17:33:38.250
161,30.15,2021-12-17 17:33:38.500
162,30.15,2021-12-17 17:33:38.750
163,30.15,2021-12-17 17:33:39.000
164,30.15,2021-12-17 17:33:39.250
165,30.15,2021-12-17 17:33:39.500
166,30.15,2021-12-17 17:33:39.750
167,30.15,2021-12-17 17:33:40.000
168,30.15,2021-12-17 17:33:40.250
169,30.15,2021-12-17 17:33:40.500
170,30.15,2021-12-17 17:33:40.750
171,30.13,2021-12-17 17:33:41.000
172,30.13,2021-12-17 17:33:41.250
173,30.13,2021-12-17 17:33:41.500
174,30.13,2021-12-17 17:33:41.750
175,30.15,2021-12-17 17:33:42.000
176,30.15,2021-12-17 17:33:42.250
177,30.15,2021-12-17 17:33:42.500
178,30.15,2021-12-17 17:33:42.750
