,BVP,time
0,-44.92,2021-12-17 17:32:58.171875
1,-21.01,2021-12-17 17:32:58.187500
2,4.38,2021-12-17 17:32:58.203125
3,30.08,2021-12-17 17:32:58.218750
4,55.45,2021-12-17 17:32:58.234375
5,79.66,2021-12-17 17:32:58.250000
6,101.32,2021-12-17 17:32:58.265625
7,119.04,2021-12-17 17:32:58.281250
8,132.08,2021-12-17 17:32:58.296875
9,140.8,2021-12-17 17:32:58.312500
10,146.24,2021-12-17 17:32:58.328125
11,149.5,2021-12-17 17:32:58.343750
12,151.09,2021-12-17 17:32:58.359375
13,150.43,2021-12-17 17:32:58.375000
14,146.22,2021-12-17 17:32:58.390625
15,136.76,2021-12-17 17:32:58.406250
16,120.77,2021-12-17 17:32:58.421875
17,98.08,2021-12-17 17:32:58.437500
18,70.21,2021-12-17 17:32:58.453125
19,40.24,2021-12-17 17:32:58.468750
20,11.83,2021-12-17 17:32:58.484375
21,-12.2,2021-12-17 17:32:58.500000
22,-31.26,2021-12-17 17:32:58.515625
23,-47.24,2021-12-17 17:32:58.531250
24,-63.62,2021-12-17 17:32:58.546875
25,-83.5,2021-12-17 17:32:58.562500
26,-107.97,2021-12-17 17:32:58.578125
27,-135.53,2021-12-17 17:32:58.593750
28,-162.93,2021-12-17 17:32:58.609375
29,-186.64,2021-12-17 17:32:58.625000
30,-204.18,2021-12-17 17:32:58.640625
31,-214.36,2021-12-17 17:32:58.656250
32,-216.8,2021-12-17 17:32:58.671875
33,-211.41,2021-12-17 17:32:58.687500
34,-198.2,2021-12-17 17:32:58.703125
35,-177.74,2021-12-17 17:32:58.718750
36,-151.73,2021-12-17 17:32:58.734375
37,-123.06,2021-12-17 17:32:58.750000
38,-95.19,2021-12-17 17:32:58.765625
39,-71.16,2021-12-17 17:32:58.781250
40,-52.68,2021-12-17 17:32:58.796875
41,-39.78,2021-12-17 17:32:58.812500
42,-31.09,2021-12-17 17:32:58.828125
43,-24.4,2021-12-17 17:32:58.843750
44,-17.36,2021-12-17 17:32:58.859375
