,TEMP,time
0,30.61,2021-12-17 17:38:58.250
1,30.61,2021-12-17 17:38:58.500
2,30.61,2021-12-17 17:38:58.750
3,30.63,2021-12-17 17:38:59.000
4,30.63,2021-12-17 17:38:59.250
5,30.63,2021-12-17 17:38:59.500
6,30.63,2021-12-17 17:38:59.750
7,30.65,2021-12-17 17:39:00.000
8,30.65,2021-12-17 17:39:00.250
9,30.65,2021-12-17 17:39:00.500
10,30.65,2021-12-17 17:39:00.750
11,30.65,2021-12-17 17:39:01.000
12,30.65,2021-12-17 17:39:01.250
13,30.65,2021-12-17 17:39:01.500
14,30.65,2021-12-17 17:39:01.750
15,30.65,2021-12-17 17:39:02.000
16,30.65,2021-12-17 17:39:02.250
17,30.65,2021-12-17 17:39:02.500
18,30.65,2021-12-17 17:39:02.750
19,30.67,2021-12-17 17:39:03.000
20,30.67,2021-12-17 17:39:03.250
21,30.67,2021-12-17 17:39:03.500
22,30.67,2021-12-17 17:39:03.750
23,30.65,2021-12-17 17:39:04.000
24,30.65,2021-12-17 17:39:04.250
25,30.65,2021-12-17 17:39:04.500
26,30.65,2021-12-17 17:39:04.750
27,30.67,2021-12-17 17:39:05.000
28,30.67,2021-12-17 17:39:05.250
29,30.67,2021-12-17 17:39:05.500
30,30.67,2021-12-17 17:39:05.750
31,30.65,2021-12-17 17:39:06.000
32,30.65,2021-12-17 17:39:06.250
33,30.65,2021-12-17 17:39:06.500
34,30.65,2021-12-17 17:39:06.750
35,30.69,2021-12-17 17:39:07.000
36,30.69,2021-12-17 17:39:07.250
37,30.69,2021-12-17 17:39:07.500
38,30.69,2021-12-17 17:39:07.750
39,30.67,2021-12-17 17:39:08.000
40,30.67,2021-12-17 17:39:08.250
41,30.67,2021-12-17 17:39:08.500
42,30.67,2021-12-17 17:39:08.750
43,30.67,2021-12-17 17:39:09.000
44,30.67,2021-12-17 17:39:09.250
45,30.67,2021-12-17 17:39:09.500
46,30.67,2021-12-17 17:39:09.750
47,30.69,2021-12-17 17:39:10.000
48,30.69,2021-12-17 17:39:10.250
49,30.69,2021-12-17 17:39:10.500
50,30.69,2021-12-17 17:39:10.750
51,30.73,2021-12-17 17:39:11.000
52,30.73,2021-12-17 17:39:11.250
53,30.73,2021-12-17 17:39:11.500
54,30.73,2021-12-17 17:39:11.750
55,30.69,2021-12-17 17:39:12.000
56,30.69,2021-12-17 17:39:12.250
57,30.69,2021-12-17 17:39:12.500
58,30.69,2021-12-17 17:39:12.750
59,30.71,2021-12-17 17:39:13.000
60,30.71,2021-12-17 17:39:13.250
61,30.71,2021-12-17 17:39:13.500
62,30.71,2021-12-17 17:39:13.750
63,30.71,2021-12-17 17:39:14.000
64,30.71,2021-12-17 17:39:14.250
65,30.71,2021-12-17 17:39:14.500
66,30.71,2021-12-17 17:39:14.750
67,30.71,2021-12-17 17:39:15.000
68,30.71,2021-12-17 17:39:15.250
69,30.71,2021-12-17 17:39:15.500
70,30.71,2021-12-17 17:39:15.750
71,30.71,2021-12-17 17:39:16.000
72,30.71,2021-12-17 17:39:16.250
73,30.71,2021-12-17 17:39:16.500
74,30.71,2021-12-17 17:39:16.750
75,30.73,2021-12-17 17:39:17.000
76,30.73,2021-12-17 17:39:17.250
77,30.73,2021-12-17 17:39:17.500
78,30.73,2021-12-17 17:39:17.750
79,30.71,2021-12-17 17:39:18.000
80,30.71,2021-12-17 17:39:18.250
81,30.71,2021-12-17 17:39:18.500
82,30.71,2021-12-17 17:39:18.750
83,30.69,2021-12-17 17:39:19.000
84,30.69,2021-12-17 17:39:19.250
85,30.69,2021-12-17 17:39:19.500
86,30.69,2021-12-17 17:39:19.750
87,30.69,2021-12-17 17:39:20.000
88,30.69,2021-12-17 17:39:20.250
89,30.69,2021-12-17 17:39:20.500
90,30.69,2021-12-17 17:39:20.750
91,30.69,2021-12-17 17:39:21.000
92,30.69,2021-12-17 17:39:21.250
93,30.69,2021-12-17 17:39:21.500
94,30.69,2021-12-17 17:39:21.750
95,30.69,2021-12-17 17:39:22.000
96,30.69,2021-12-17 17:39:22.250
97,30.69,2021-12-17 17:39:22.500
98,30.69,2021-12-17 17:39:22.750
99,30.69,2021-12-17 17:39:23.000
100,30.69,2021-12-17 17:39:23.250
101,30.69,2021-12-17 17:39:23.500
102,30.69,2021-12-17 17:39:23.750
103,30.69,2021-12-17 17:39:24.000
104,30.69,2021-12-17 17:39:24.250
105,30.69,2021-12-17 17:39:24.500
106,30.69,2021-12-17 17:39:24.750
107,30.69,2021-12-17 17:39:25.000
108,30.69,2021-12-17 17:39:25.250
109,30.69,2021-12-17 17:39:25.500
110,30.69,2021-12-17 17:39:25.750
111,30.69,2021-12-17 17:39:26.000
112,30.69,2021-12-17 17:39:26.250
113,30.69,2021-12-17 17:39:26.500
114,30.69,2021-12-17 17:39:26.750
115,30.69,2021-12-17 17:39:27.000
116,30.69,2021-12-17 17:39:27.250
117,30.69,2021-12-17 17:39:27.500
118,30.69,2021-12-17 17:39:27.750
119,30.71,2021-12-17 17:39:28.000
120,30.71,2021-12-17 17:39:28.250
121,30.71,2021-12-17 17:39:28.500
122,30.71,2021-12-17 17:39:28.750
123,30.71,2021-12-17 17:39:29.000
124,30.71,2021-12-17 17:39:29.250
125,30.71,2021-12-17 17:39:29.500
126,30.71,2021-12-17 17:39:29.750
127,30.69,2021-12-17 17:39:30.000
128,30.69,2021-12-17 17:39:30.250
129,30.69,2021-12-17 17:39:30.500
130,30.69,2021-12-17 17:39:30.750
131,30.69,2021-12-17 17:39:31.000
132,30.69,2021-12-17 17:39:31.250
133,30.69,2021-12-17 17:39:31.500
134,30.69,2021-12-17 17:39:31.750
135,30.71,2021-12-17 17:39:32.000
136,30.71,2021-12-17 17:39:32.250
137,30.71,2021-12-17 17:39:32.500
138,30.71,2021-12-17 17:39:32.750
139,30.71,2021-12-17 17:39:33.000
140,30.71,2021-12-17 17:39:33.250
141,30.71,2021-12-17 17:39:33.500
142,30.71,2021-12-17 17:39:33.750
143,30.67,2021-12-17 17:39:34.000
144,30.67,2021-12-17 17:39:34.250
145,30.67,2021-12-17 17:39:34.500
146,30.67,2021-12-17 17:39:34.750
147,30.67,2021-12-17 17:39:35.000
148,30.67,2021-12-17 17:39:35.250
149,30.67,2021-12-17 17:39:35.500
150,30.67,2021-12-17 17:39:35.750
151,30.71,2021-12-17 17:39:36.000
152,30.71,2021-12-17 17:39:36.250
153,30.71,2021-12-17 17:39:36.500
154,30.71,2021-12-17 17:39:36.750
155,30.69,2021-12-17 17:39:37.000
156,30.69,2021-12-17 17:39:37.250
157,30.69,2021-12-17 17:39:37.500
158,30.69,2021-12-17 17:39:37.750
159,30.69,2021-12-17 17:39:38.000
160,30.69,2021-12-17 17:39:38.250
161,30.69,2021-12-17 17:39:38.500
162,30.69,2021-12-17 17:39:38.750
163,30.69,2021-12-17 17:39:39.000
164,30.69,2021-12-17 17:39:39.250
165,30.69,2021-12-17 17:39:39.500
166,30.69,2021-12-17 17:39:39.750
167,30.69,2021-12-17 17:39:40.000
168,30.69,2021-12-17 17:39:40.250
169,30.69,2021-12-17 17:39:40.500
170,30.69,2021-12-17 17:39:40.750
171,30.69,2021-12-17 17:39:41.000
172,30.69,2021-12-17 17:39:41.250
173,30.69,2021-12-17 17:39:41.500
174,30.69,2021-12-17 17:39:41.750
175,30.69,2021-12-17 17:39:42.000
176,30.69,2021-12-17 17:39:42.250
177,30.69,2021-12-17 17:39:42.500
