,EDA,time
0,0.308801,2021-12-17 17:38:58.250
1,0.313926,2021-12-17 17:38:58.500
2,0.304957,2021-12-17 17:38:58.750
3,0.303675,2021-12-17 17:38:59.000
4,0.304957,2021-12-17 17:38:59.250
5,0.307519,2021-12-17 17:38:59.500
6,0.303675,2021-12-17 17:38:59.750
7,0.302394,2021-12-17 17:39:00.000
8,0.340834,2021-12-17 17:39:00.250
9,0.407463,2021-12-17 17:39:00.500
10,0.35621,2021-12-17 17:39:00.750
11,0.343397,2021-12-17 17:39:01.000
12,0.319051,2021-12-17 17:39:01.250
13,0.315207,2021-12-17 17:39:01.500
14,0.313926,2021-12-17 17:39:01.750
15,0.312645,2021-12-17 17:39:02.000
16,0.312645,2021-12-17 17:39:02.250
17,0.311363,2021-12-17 17:39:02.500
18,0.315207,2021-12-17 17:39:02.750
19,0.335709,2021-12-17 17:39:03.000
20,0.338271,2021-12-17 17:39:03.250
21,0.334427,2021-12-17 17:39:03.500
22,0.333146,2021-12-17 17:39:03.750
23,0.330583,2021-12-17 17:39:04.000
24,0.329302,2021-12-17 17:39:04.250
25,0.328021,2021-12-17 17:39:04.500
26,0.328021,2021-12-17 17:39:04.750
27,0.328021,2021-12-17 17:39:05.000
28,0.329302,2021-12-17 17:39:05.250
29,0.329302,2021-12-17 17:39:05.500
30,0.325458,2021-12-17 17:39:05.750
31,0.321614,2021-12-17 17:39:06.000
32,0.31777,2021-12-17 17:39:06.250
33,0.315207,2021-12-17 17:39:06.500
34,0.312645,2021-12-17 17:39:06.750
35,0.315207,2021-12-17 17:39:07.000
36,0.315207,2021-12-17 17:39:07.250
37,0.316489,2021-12-17 17:39:07.500
38,0.313926,2021-12-17 17:39:07.750
39,0.315207,2021-12-17 17:39:08.000
40,0.320333,2021-12-17 17:39:08.250
41,0.325458,2021-12-17 17:39:08.500
42,0.325458,2021-12-17 17:39:08.750
43,0.328021,2021-12-17 17:39:09.000
44,0.328021,2021-12-17 17:39:09.250
45,0.326739,2021-12-17 17:39:09.500
46,0.325458,2021-12-17 17:39:09.750
47,0.326739,2021-12-17 17:39:10.000
48,0.328021,2021-12-17 17:39:10.250
49,0.326739,2021-12-17 17:39:10.500
50,0.325458,2021-12-17 17:39:10.750
51,0.324177,2021-12-17 17:39:11.000
52,0.325458,2021-12-17 17:39:11.250
53,0.322895,2021-12-17 17:39:11.500
54,0.322895,2021-12-17 17:39:11.750
55,0.324177,2021-12-17 17:39:12.000
56,0.319051,2021-12-17 17:39:12.250
57,0.320333,2021-12-17 17:39:12.500
58,0.320333,2021-12-17 17:39:12.750
59,0.31777,2021-12-17 17:39:13.000
60,0.316489,2021-12-17 17:39:13.250
61,0.316489,2021-12-17 17:39:13.500
62,0.313926,2021-12-17 17:39:13.750
63,0.31777,2021-12-17 17:39:14.000
64,0.321614,2021-12-17 17:39:14.250
65,0.326739,2021-12-17 17:39:14.500
66,0.328021,2021-12-17 17:39:14.750
67,0.316489,2021-12-17 17:39:15.000
68,0.313926,2021-12-17 17:39:15.250
69,0.31777,2021-12-17 17:39:15.500
70,0.321614,2021-12-17 17:39:15.750
71,0.326739,2021-12-17 17:39:16.000
72,0.328021,2021-12-17 17:39:16.250
73,0.329302,2021-12-17 17:39:16.500
74,0.325458,2021-12-17 17:39:16.750
75,0.325458,2021-12-17 17:39:17.000
76,0.324177,2021-12-17 17:39:17.250
77,0.324177,2021-12-17 17:39:17.500
78,0.325458,2021-12-17 17:39:17.750
79,0.322895,2021-12-17 17:39:18.000
80,0.321614,2021-12-17 17:39:18.250
81,0.321614,2021-12-17 17:39:18.500
82,0.322895,2021-12-17 17:39:18.750
83,0.324177,2021-12-17 17:39:19.000
84,0.321614,2021-12-17 17:39:19.250
85,0.321614,2021-12-17 17:39:19.500
86,0.316489,2021-12-17 17:39:19.750
87,0.319051,2021-12-17 17:39:20.000
