,EDA,time
0,0.288566,2021-12-17 17:46:24.250
1,0.288566,2021-12-17 17:46:24.500
2,0.287285,2021-12-17 17:46:24.750
3,0.29241,2021-12-17 17:46:25.000
4,0.298817,2021-12-17 17:46:25.250
5,0.293692,2021-12-17 17:46:25.500
6,0.232188,2021-12-17 17:46:25.750
7,0.2245,2021-12-17 17:46:26.000
8,0.214249,2021-12-17 17:46:26.250
9,0.21553,2021-12-17 17:46:26.500
10,0.23475,2021-12-17 17:46:26.750
11,0.233469,2021-12-17 17:46:27.000
12,0.256533,2021-12-17 17:46:27.250
13,0.275753,2021-12-17 17:46:27.500
14,0.278316,2021-12-17 17:46:27.750
15,0.279597,2021-12-17 17:46:28.000
16,0.280878,2021-12-17 17:46:28.250
17,0.28216,2021-12-17 17:46:28.500
18,0.279597,2021-12-17 17:46:28.750
19,0.278316,2021-12-17 17:46:29.000
20,0.271909,2021-12-17 17:46:29.250
21,0.268065,2021-12-17 17:46:29.500
22,0.275753,2021-12-17 17:46:29.750
23,0.245001,2021-12-17 17:46:30.000
24,0.241157,2021-12-17 17:46:30.250
25,0.264221,2021-12-17 17:46:30.500
26,0.271909,2021-12-17 17:46:30.750
27,0.268065,2021-12-17 17:46:31.000
28,0.277034,2021-12-17 17:46:31.250
29,0.297536,2021-12-17 17:46:31.500
30,0.29241,2021-12-17 17:46:31.750
31,0.284722,2021-12-17 17:46:32.000
32,0.279597,2021-12-17 17:46:32.250
33,0.269346,2021-12-17 17:46:32.500
34,0.274472,2021-12-17 17:46:32.750
35,0.277034,2021-12-17 17:46:33.000
36,0.274472,2021-12-17 17:46:33.250
37,0.252689,2021-12-17 17:46:33.500
38,0.238594,2021-12-17 17:46:33.750
39,0.239876,2021-12-17 17:46:34.000
40,0.24372,2021-12-17 17:46:34.250
41,0.264221,2021-12-17 17:46:34.500
42,0.26294,2021-12-17 17:46:34.750
43,0.259096,2021-12-17 17:46:35.000
44,0.286004,2021-12-17 17:46:35.250
45,0.29241,2021-12-17 17:46:35.500
46,0.286004,2021-12-17 17:46:35.750
47,0.280878,2021-12-17 17:46:36.000
48,0.277034,2021-12-17 17:46:36.250
49,0.286004,2021-12-17 17:46:36.500
50,0.288566,2021-12-17 17:46:36.750
51,0.283441,2021-12-17 17:46:37.000
52,0.287285,2021-12-17 17:46:37.250
53,0.277034,2021-12-17 17:46:37.500
54,0.26294,2021-12-17 17:46:37.750
55,0.259096,2021-12-17 17:46:38.000
56,0.25397,2021-12-17 17:46:38.250
57,0.255252,2021-12-17 17:46:38.500
58,0.259096,2021-12-17 17:46:38.750
59,0.25397,2021-12-17 17:46:39.000
60,0.256533,2021-12-17 17:46:39.250
61,0.257814,2021-12-17 17:46:39.500
62,0.255252,2021-12-17 17:46:39.750
63,0.252689,2021-12-17 17:46:40.000
64,0.250126,2021-12-17 17:46:40.250
65,0.246282,2021-12-17 17:46:40.500
66,0.245001,2021-12-17 17:46:40.750
67,0.246282,2021-12-17 17:46:41.000
68,0.24372,2021-12-17 17:46:41.250
69,0.241157,2021-12-17 17:46:41.500
70,0.241157,2021-12-17 17:46:41.750
71,0.238594,2021-12-17 17:46:42.000
72,0.237313,2021-12-17 17:46:42.250
73,0.233469,2021-12-17 17:46:42.500
74,0.233469,2021-12-17 17:46:42.750
75,0.233469,2021-12-17 17:46:43.000
76,0.233469,2021-12-17 17:46:43.250
77,0.229625,2021-12-17 17:46:43.500
78,0.230906,2021-12-17 17:46:43.750
79,0.229625,2021-12-17 17:46:44.000
80,0.227062,2021-12-17 17:46:44.250
81,0.228344,2021-12-17 17:46:44.500
82,0.2245,2021-12-17 17:46:44.750
83,0.2245,2021-12-17 17:46:45.000
84,0.221937,2021-12-17 17:46:45.250
85,0.2245,2021-12-17 17:46:45.500
86,0.220656,2021-12-17 17:46:45.750
87,0.221937,2021-12-17 17:46:46.000
88,0.220656,2021-12-17 17:46:46.250
89,0.221937,2021-12-17 17:46:46.500
90,0.219374,2021-12-17 17:46:46.750
