,BVP,time
0,7.88,2021-12-17 17:46:24.171875
1,9.08,2021-12-17 17:46:24.187500
2,10.31,2021-12-17 17:46:24.203125
3,11.77,2021-12-17 17:46:24.218750
4,13.69,2021-12-17 17:46:24.234375
5,16.27,2021-12-17 17:46:24.250000
6,19.55,2021-12-17 17:46:24.265625
7,23.38,2021-12-17 17:46:24.281250
8,27.44,2021-12-17 17:46:24.296875
9,31.41,2021-12-17 17:46:24.312500
10,35.06,2021-12-17 17:46:24.328125
11,38.32,2021-12-17 17:46:24.343750
12,41.2,2021-12-17 17:46:24.359375
13,43.76,2021-12-17 17:46:24.375000
14,46.03,2021-12-17 17:46:24.390625
15,48.06,2021-12-17 17:46:24.406250
16,49.85,2021-12-17 17:46:24.421875
17,51.46,2021-12-17 17:46:24.437500
18,53.08,2021-12-17 17:46:24.453125
19,54.97,2021-12-17 17:46:24.468750
20,57.48,2021-12-17 17:46:24.484375
21,60.94,2021-12-17 17:46:24.500000
22,65.6,2021-12-17 17:46:24.515625
23,71.5,2021-12-17 17:46:24.531250
24,78.53,2021-12-17 17:46:24.546875
25,86.25,2021-12-17 17:46:24.562500
26,94.11,2021-12-17 17:46:24.578125
27,101.56,2021-12-17 17:46:24.593750
28,108.35,2021-12-17 17:46:24.609375
29,114.61,2021-12-17 17:46:24.625000
30,120.9,2021-12-17 17:46:24.640625
31,128.1,2021-12-17 17:46:24.656250
32,137.0,2021-12-17 17:46:24.671875
33,148.05,2021-12-17 17:46:24.687500
34,161.01,2021-12-17 17:46:24.703125
35,175.13,2021-12-17 17:46:24.718750
36,189.19,2021-12-17 17:46:24.734375
37,201.83,2021-12-17 17:46:24.750000
38,211.68,2021-12-17 17:46:24.765625
39,217.38,2021-12-17 17:46:24.781250
40,217.63,2021-12-17 17:46:24.796875
41,211.54,2021-12-17 17:46:24.812500
42,199.01,2021-12-17 17:46:24.828125
43,180.46,2021-12-17 17:46:24.843750
44,156.38,2021-12-17 17:46:24.859375
45,126.54,2021-12-17 17:46:24.875000
46,89.89,2021-12-17 17:46:24.890625
47,45.17,2021-12-17 17:46:24.906250
48,-8.0,2021-12-17 17:46:24.921875
49,-67.82,2021-12-17 17:46:24.937500
50,-129.61,2021-12-17 17:46:24.953125
51,-186.29,2021-12-17 17:46:24.968750
52,-230.56,2021-12-17 17:46:24.984375
53,-257.37,2021-12-17 17:46:25.000000
54,-265.85,2021-12-17 17:46:25.015625
55,-259.42,2021-12-17 17:46:25.031250
56,-244.64,2021-12-17 17:46:25.046875
57,-229.31,2021-12-17 17:46:25.062500
58,-220.47,2021-12-17 17:46:25.078125
59,-223.01,2021-12-17 17:46:25.093750
60,-238.9,2021-12-17 17:46:25.109375
61,-267.71,2021-12-17 17:46:25.125000
62,-306.7,2021-12-17 17:46:25.140625
63,-351.42,2021-12-17 17:46:25.156250
64,-395.98,2021-12-17 17:46:25.171875
65,-433.69,2021-12-17 17:46:25.187500
66,-458.31,2021-12-17 17:46:25.203125
67,-465.32,2021-12-17 17:46:25.218750
68,-453.45,2021-12-17 17:46:25.234375
69,-424.92,2021-12-17 17:46:25.250000
70,-384.59,2021-12-17 17:46:25.265625
71,-337.5,2021-12-17 17:46:25.281250
72,-286.87,2021-12-17 17:46:25.296875
73,-233.2,2021-12-17 17:46:25.312500
74,-175.23,2021-12-17 17:46:25.328125
75,-112.05,2021-12-17 17:46:25.343750
76,-45.31,2021-12-17 17:46:25.359375
77,20.19,2021-12-17 17:46:25.375000
78,77.81,2021-12-17 17:46:25.390625
79,121.09,2021-12-17 17:46:25.406250
80,146.14,2021-12-17 17:46:25.421875
81,152.49,2021-12-17 17:46:25.437500
82,142.53,2021-12-17 17:46:25.453125
83,120.55,2021-12-17 17:46:25.468750
84,92.07,2021-12-17 17:46:25.484375
85,63.37,2021-12-17 17:46:25.500000
86,40.74,2021-12-17 17:46:25.515625
87,29.59,2021-12-17 17:46:25.531250
88,32.87,2021-12-17 17:46:25.546875
89,50.42,2021-12-17 17:46:25.562500
90,79.11,2021-12-17 17:46:25.578125
91,113.67,2021-12-17 17:46:25.593750
92,148.4,2021-12-17 17:46:25.609375
93,178.01,2021-12-17 17:46:25.625000
94,198.91,2021-12-17 17:46:25.640625
95,209.43,2021-12-17 17:46:25.656250
96,210.27,2021-12-17 17:46:25.671875
97,204.24,2021-12-17 17:46:25.687500
98,195.39,2021-12-17 17:46:25.703125
99,187.64,2021-12-17 17:46:25.718750
100,183.26,2021-12-17 17:46:25.734375
101,182.39,2021-12-17 17:46:25.750000
102,183.09,2021-12-17 17:46:25.765625
103,182.58,2021-12-17 17:46:25.781250
104,178.5,2021-12-17 17:46:25.796875
105,169.99,2021-12-17 17:46:25.812500
106,157.56,2021-12-17 17:46:25.828125
107,142.6,2021-12-17 17:46:25.843750
108,126.46,2021-12-17 17:46:25.859375
109,109.77,2021-12-17 17:46:25.875000
110,93.27,2021-12-17 17:46:25.890625
111,77.94,2021-12-17 17:46:25.906250
112,65.47,2021-12-17 17:46:25.921875
113,58.34,2021-12-17 17:46:25.937500
114,59.78,2021-12-17 17:46:25.953125
115,72.96,2021-12-17 17:46:25.968750
116,100.19,2021-12-17 17:46:25.984375
117,141.78,2021-12-17 17:46:26.000000
118,195.34,2021-12-17 17:46:26.015625
119,256.42,2021-12-17 17:46:26.031250
120,319.22,2021-12-17 17:46:26.046875
121,377.77,2021-12-17 17:46:26.062500
122,426.84,2021-12-17 17:46:26.078125
123,462.65,2021-12-17 17:46:26.093750
124,483.02,2021-12-17 17:46:26.109375
125,487.4,2021-12-17 17:46:26.125000
126,476.61,2021-12-17 17:46:26.140625
127,452.39,2021-12-17 17:46:26.156250
128,417.02,2021-12-17 17:46:26.171875
129,372.81,2021-12-17 17:46:26.187500
130,321.83,2021-12-17 17:46:26.203125
131,265.96,2021-12-17 17:46:26.218750
132,207.16,2021-12-17 17:46:26.234375
133,147.68,2021-12-17 17:46:26.250000
134,89.89,2021-12-17 17:46:26.265625
135,35.82,2021-12-17 17:46:26.281250
136,-13.39,2021-12-17 17:46:26.296875
137,-57.47,2021-12-17 17:46:26.312500
138,-96.6,2021-12-17 17:46:26.328125
139,-130.53,2021-12-17 17:46:26.343750
140,-158.37,2021-12-17 17:46:26.359375
141,-179.19,2021-12-17 17:46:26.375000
142,-193.19,2021-12-17 17:46:26.390625
143,-202.95,2021-12-17 17:46:26.406250
144,-213.35,2021-12-17 17:46:26.421875
145,-230.14,2021-12-17 17:46:26.437500
146,-257.43,2021-12-17 17:46:26.453125
147,-295.8,2021-12-17 17:46:26.468750
148,-341.64,2021-12-17 17:46:26.484375
149,-388.64,2021-12-17 17:46:26.500000
150,-430.35,2021-12-17 17:46:26.515625
151,-462.54,2021-12-17 17:46:26.531250
152,-484.24,2021-12-17 17:46:26.546875
153,-497.09,2021-12-17 17:46:26.562500
154,-503.9,2021-12-17 17:46:26.578125
155,-506.91,2021-12-17 17:46:26.593750
156,-507.34,2021-12-17 17:46:26.609375
157,-505.7,2021-12-17 17:46:26.625000
158,-502.54,2021-12-17 17:46:26.640625
159,-498.86,2021-12-17 17:46:26.656250
160,-495.7,2021-12-17 17:46:26.671875
161,-493.32,2021-12-17 17:46:26.687500
162,-490.17,2021-12-17 17:46:26.703125
163,-483.45,2021-12-17 17:46:26.718750
164,-470.33,2021-12-17 17:46:26.734375
165,-449.7,2021-12-17 17:46:26.750000
166,-423.2,2021-12-17 17:46:26.765625
167,-394.33,2021-12-17 17:46:26.781250
168,-366.29,2021-12-17 17:46:26.796875
169,-339.43,2021-12-17 17:46:26.812500
170,-310.66,2021-12-17 17:46:26.828125
171,-274.75,2021-12-17 17:46:26.843750
172,-227.62,2021-12-17 17:46:26.859375
173,-169.37,2021-12-17 17:46:26.875000
174,-105.37,2021-12-17 17:46:26.890625
175,-44.79,2021-12-17 17:46:26.906250
176,2.51,2021-12-17 17:46:26.921875
177,29.03,2021-12-17 17:46:26.937500
178,31.78,2021-12-17 17:46:26.953125
179,12.36,2021-12-17 17:46:26.968750
180,-23.17,2021-12-17 17:46:26.984375
181,-65.1,2021-12-17 17:46:27.000000
182,-101.25,2021-12-17 17:46:27.015625
183,-119.66,2021-12-17 17:46:27.031250
184,-112.24,2021-12-17 17:46:27.046875
185,-78.04,2021-12-17 17:46:27.062500
186,-24.27,2021-12-17 17:46:27.078125
187,36.65,2021-12-17 17:46:27.093750
188,92.32,2021-12-17 17:46:27.109375
189,135.73,2021-12-17 17:46:27.125000
190,167.11,2021-12-17 17:46:27.140625
191,192.44,2021-12-17 17:46:27.156250
192,218.87,2021-12-17 17:46:27.171875
193,250.36,2021-12-17 17:46:27.187500
194,285.98,2021-12-17 17:46:27.203125
195,320.57,2021-12-17 17:46:27.218750
196,346.99,2021-12-17 17:46:27.234375
197,358.24,2021-12-17 17:46:27.250000
198,348.92,2021-12-17 17:46:27.265625
199,316.45,2021-12-17 17:46:27.281250
200,262.84,2021-12-17 17:46:27.296875
201,195.88,2021-12-17 17:46:27.312500
202,128.43,2021-12-17 17:46:27.328125
203,75.07,2021-12-17 17:46:27.343750
204,46.8,2021-12-17 17:46:27.359375
205,46.54,2021-12-17 17:46:27.375000
206,68.19,2021-12-17 17:46:27.390625
207,100.18,2021-12-17 17:46:27.406250
208,130.84,2021-12-17 17:46:27.421875
209,153.17,2021-12-17 17:46:27.437500
210,166.11,2021-12-17 17:46:27.453125
211,172.26,2021-12-17 17:46:27.468750
212,174.07,2021-12-17 17:46:27.484375
213,171.43,2021-12-17 17:46:27.500000
214,161.88,2021-12-17 17:46:27.515625
215,143.03,2021-12-17 17:46:27.531250
216,115.29,2021-12-17 17:46:27.546875
217,82.64,2021-12-17 17:46:27.562500
218,50.98,2021-12-17 17:46:27.578125
219,24.85,2021-12-17 17:46:27.593750
220,5.05,2021-12-17 17:46:27.609375
221,-11.71,2021-12-17 17:46:27.625000
222,-30.72,2021-12-17 17:46:27.640625
223,-55.96,2021-12-17 17:46:27.656250
224,-87.59,2021-12-17 17:46:27.671875
225,-121.54,2021-12-17 17:46:27.687500
226,-151.63,2021-12-17 17:46:27.703125
227,-172.59,2021-12-17 17:46:27.718750
228,-182.23,2021-12-17 17:46:27.734375
229,-181.64,2021-12-17 17:46:27.750000
230,-173.45,2021-12-17 17:46:27.765625
231,-159.63,2021-12-17 17:46:27.781250
