Time;HR;BR;Posture;Activity
09:22:22.435;65;8.1;-85;0.12
09:22:23.435;65;8.1;-85;0.06
09:22:24.435;65;7.3;-84;0.03
09:22:25.435;65;7.3;-84;0.02
09:22:26.435;65;6.6;-83;0.04
09:22:27.435;65;6.6;-88;0.20
09:22:28.435;65;5.9;-93;0.18
09:22:29.435;0;5.9;-97;0.10
09:22:30.435;0;6.3;-100;0.05
09:22:31.435;0;6.3;-100;0.03
09:22:32.435;0;6.7;-98;0.08
09:22:33.435;0;6.7;-87;0.36
09:22:34.435;0;6.3;-64;0.66
09:22:35.435;0;6.3;-30;0.84
09:22:36.435;0;6.0;-17;0.37
09:22:37.435;0;6.0;7;0.27
09:22:38.435;65;5.7;8;0.11
09:22:39.435;65;5.7;-8;0.12
09:22:40.435;65;5.4;-8;0.13
09:22:41.435;65;5.4;-10;0.13
09:22:42.435;65;5.2;-11;0.08
09:22:43.435;65;5.2;-12;0.06
09:22:44.435;65;5.0;-13;0.05
09:22:45.435;65;5.0;-12;0.05
09:22:46.435;65;5.0;-11;0.11
09:22:47.435;65;5.0;-11;0.15
09:22:48.435;0;5.0;-11;0.04
09:22:49.435;0;5.0;-11;0.04
09:22:50.435;0;4.8;-12;0.04
09:22:51.435;0;4.8;-14;0.04
09:22:52.435;57;4.9;-12;0.06
09:22:53.435;61;4.9;-10;0.12
09:22:54.435;69;5.0;-8;0.13
09:22:55.435;73;5.0;-8;0.13
09:22:56.435;75;5.4;-8;0.03
09:22:57.435;79;5.4;-8;0.05
09:22:58.435;82;5.8;-7;0.05
09:22:59.435;85;5.8;-8;0.05
09:23:00.435;84;6.1;-10;0.04
09:23:01.435;82;6.1;-10;0.02
09:23:02.435;82;6.4;-10;0.02
09:23:03.435;82;6.4;-8;0.03
09:23:04.435;85;6.6;-7;0.06
09:23:05.435;81;6.6;-6;0.05
09:23:06.435;79;7.2;-4;0.08
09:23:07.435;78;7.2;-6;0.06
09:23:08.435;79;7.9;-5;0.04
09:23:09.435;83;7.9;-5;0.17
09:23:10.435;85;8.6;-7;0.15
09:23:11.435;81;8.6;-6;0.14
09:23:12.435;80;9.3;-4;0.13
09:23:13.435;78;9.3;-7;0.13
09:23:14.435;73;9.8;-7;0.10
09:23:15.435;74;9.8;-5;0.08
09:23:16.435;74;10.4;-2;0.15
09:23:17.435;76;10.4;-1;0.09
09:23:18.435;77;11.1;-1;0.12
09:23:19.435;78;11.1;-1;0.13
09:23:20.435;81;12.1;2;0.13
09:23:21.435;81;12.1;-2;0.12
09:23:22.435;79;13.0;-2;0.13
09:23:23.435;80;13.0;2;0.09
09:23:24.435;82;14.1;2;0.09
09:23:25.435;80;14.1;3;0.09
09:23:26.435;78;14.8;6;0.08
09:23:27.435;80;14.8;-5;0.04
09:23:28.435;78;15.4;-6;0.05
09:23:29.435;75;15.4;11;0.15
09:23:30.435;73;15.7;14;0.10
09:23:31.435;71;15.7;14;0.05
09:23:32.435;71;15.9;8;0.16
09:23:33.435;74;15.9;4;0.13
09:23:34.435;78;16.4;4;0.12
09:23:35.435;79;16.4;7;0.17
09:23:36.435;75;16.6;6;0.13
09:23:37.435;74;16.6;5;0.15
09:23:38.435;77;16.7;4;0.14
09:23:39.435;81;16.7;5;0.13
09:23:40.435;84;16.5;7;0.15
09:23:41.435;88;16.5;6;0.11
09:23:42.435;91;16.7;4;0.13
09:23:43.435;90;16.7;5;0.13
09:23:44.435;89;16.8;5;0.13
09:23:45.435;92;16.8;8;0.15
09:23:46.435;92;17.2;5;0.17
09:23:47.435;86;17.2;4;0.11
09:23:48.435;84;17.3;4;0.13
09:23:49.435;86;17.3;4;0.08
09:23:50.435;87;18.0;-2;0.12
09:23:51.435;87;18.0;2;0.08
09:23:52.435;88;18.3;1;0.09
09:23:53.435;86;18.3;3;0.09
09:23:54.435;82;18.5;5;0.09
09:23:55.435;82;18.5;7;0.08
09:23:56.435;82;19.1;8;0.04
09:23:57.435;84;19.1;-8;0.03
09:23:58.435;82;19.3;-8;0.02
09:23:59.435;79;19.3;-8;0.02
09:24:00.435;76;19.4;-7;0.04
09:24:01.435;75;19.4;-6;0.05
09:24:02.435;75;19.6;-6;0.03
09:24:03.435;75;19.6;-6;0.02
09:24:04.435;76;19.7;-7;0.02
09:24:05.435;76;19.7;-7;0.07
09:24:06.435;75;19.6;-5;0.09
09:24:07.435;78;19.6;-3;0.07
09:24:08.435;79;19.7;-6;0.06
09:24:09.435;80;19.7;-4;0.08
09:24:10.435;83;19.5;-7;0.12
09:24:11.435;86;19.5;-7;0.06
09:24:12.435;89;19.4;-7;0.03
09:24:13.435;88;19.4;-7;0.02
09:24:14.435;85;19.3;-7;0.02
09:24:15.435;84;19.3;-7;0.07
09:24:16.435;84;19.1;-4;0.13
09:24:17.435;86;19.1;-5;0.09
09:24:18.435;89;19.3;-5;0.12
09:24:19.435;90;19.3;-4;0.14
09:24:20.435;88;19.8;4;0.15
09:24:21.435;84;19.8;-4;0.12
09:24:22.435;81;20.2;4;0.14
09:24:23.435;81;20.2;4;0.13
09:24:24.435;81;20.3;4;0.12
09:24:25.435;82;20.3;3;0.16
09:24:26.435;85;21.2;2;0.13
09:24:27.435;88;21.2;4;0.18
09:24:28.435;86;22.4;-4;0.16
09:24:29.435;89;22.4;-4;0.13
09:24:30.435;89;23.5;-3;0.15
09:24:31.435;86;23.5;-4;0.13
09:24:32.435;85;24.4;5;0.15
09:24:33.435;81;24.4;6;0.15
09:24:34.435;81;25.6;5;0.15
09:24:35.435;81;25.6;4;0.16
09:24:36.435;82;26.9;2;0.20
09:24:37.435;85;26.9;2;0.21
09:24:38.435;87;28.1;3;0.16
09:24:39.435;91;28.1;7;0.17
09:24:40.435;92;29.2;7;0.14
09:24:41.435;94;29.2;-7;0.14
09:24:42.435;93;30.2;4;0.19
09:24:43.435;93;30.2;3;0.15
09:24:44.435;94;31.4;-1;0.13
09:24:45.435;94;31.4;4;0.14
09:24:46.435;96;31.5;-4;0.19
09:24:47.435;97;31.5;-5;0.20
09:24:48.435;99;31.1;-4;0.19
09:24:49.435;101;31.1;-6;0.23
09:24:50.435;103;30.7;-7;0.22
09:24:51.435;106;30.7;-6;0.20
09:24:52.435;107;30.9;-7;0.22
09:24:53.435;106;30.9;-6;0.29
09:24:54.435;104;30.8;-6;0.18
09:24:55.435;104;30.8;-6;0.18
09:24:56.435;102;30.4;-4;0.15
09:24:57.435;103;30.4;4;0.19
09:24:58.435;101;30.1;-5;0.23
09:24:59.435;102;30.1;-5;0.20
09:25:00.435;100;29.5;-5;0.19
09:25:01.435;96;29.5;-6;0.22
09:25:02.435;96;29.0;-6;0.25
09:25:03.435;95;29.0;-8;0.30
09:25:04.435;93;29.1;-8;0.19
09:25:05.435;90;29.1;7;0.16
09:25:06.435;90;29.2;8;0.14
09:25:07.435;93;29.2;7;0.16
09:25:08.435;95;29.4;6;0.16
09:25:09.435;98;29.4;5;0.16
09:25:10.435;101;29.5;4;0.14
09:25:11.435;105;29.5;5;0.17
09:25:12.435;106;29.7;5;0.15
09:25:13.435;102;29.7;6;0.15
09:25:14.435;99;29.8;6;0.13
09:25:15.435;96;29.8;7;0.14
09:25:16.435;94;27.4;8;0.09
09:25:17.435;89;27.4;11;0.12
09:25:18.435;85;25.6;10;0.11
09:25:19.435;81;25.6;8;0.11
09:25:20.435;80;23.9;5;0.17
09:25:21.435;80;23.9;6;0.17
09:25:22.435;79;22.7;4;0.18
09:25:23.435;80;22.7;2;0.18
09:25:24.435;82;21.7;2;0.20
09:25:25.435;82;21.7;3;0.21
09:25:26.435;83;21.0;4;0.19
09:25:27.435;89;21.0;4;0.16
09:25:28.435;90;20.4;4;0.18
09:25:29.435;89;20.4;2;0.17
09:25:30.435;90;20.2;2;0.20
09:25:31.435;88;20.2;2;0.17
09:25:32.435;85;20.2;2;0.19
09:25:33.435;86;20.2;-3;0.18
09:25:34.435;91;20.9;5;0.21
09:25:35.435;95;20.9;7;0.21
09:25:36.435;96;21.2;7;0.20
09:25:37.435;94;21.2;7;0.23
09:25:38.435;94;21.5;-7;0.19
09:25:39.435;94;21.5;-7;0.15
09:25:40.435;95;22.0;-6;0.16
09:25:41.435;94;22.0;5;0.11
09:25:42.435;93;22.2;4;0.10
09:25:43.435;92;22.2;5;0.12
09:25:44.435;92;22.4;7;0.11
09:25:45.435;91;22.4;8;0.07
09:25:46.435;88;22.3;11;0.11
09:25:47.435;82;22.3;4;0.20
09:25:48.435;83;22.1;10;0.16
09:25:49.435;80;22.1;12;0.07
09:25:50.435;80;22.0;7;0.16
09:25:51.435;82;22.0;8;0.16
09:25:52.435;84;21.9;10;0.14
09:25:53.435;87;21.9;5;0.12
09:25:54.435;89;21.2;7;0.12
09:25:55.435;92;21.2;8;0.15
09:25:56.435;94;20.6;9;0.17
09:25:57.435;95;20.6;8;0.13
09:25:58.435;94;20.1;7;0.21
09:25:59.435;93;20.1;5;0.18
09:26:00.435;90;19.3;5;0.15
09:26:01.435;89;19.3;7;0.17
09:26:02.435;90;18.5;8;0.15
09:26:03.435;90;18.5;8;0.12
09:26:04.435;90;18.2;-8;0.31
09:26:05.435;92;18.2;-7;0.23
09:26:06.435;93;17.9;-5;0.21
09:26:07.435;95;17.9;-5;0.19
09:26:08.435;95;17.6;-5;0.20
09:26:09.435;95;17.6;-5;0.21
09:26:10.435;95;17.4;-5;0.19
09:26:11.435;94;17.4;5;0.21
09:26:12.435;95;17.3;-5;0.21
09:26:13.435;96;17.3;-4;0.20
09:26:14.435;97;17.2;-4;0.21
09:26:15.435;95;17.2;-6;0.21
09:26:16.435;95;17.4;-5;0.23
09:26:17.435;95;17.4;-4;0.17
09:26:18.435;98;15.7;4;0.19
09:26:19.435;100;15.7;4;0.21
09:26:20.435;102;14.1;6;0.20
09:26:21.435;104;14.1;6;0.23
09:26:22.435;106;13.0;6;0.22
09:26:23.435;108;13.0;5;0.20
09:26:24.435;110;12.0;4;0.21
09:26:25.435;106;12.0;4;0.21
09:26:26.435;102;11.4;4;0.20
09:26:27.435;97;11.4;5;0.22
09:26:28.435;96;11.5;4;0.20
09:26:29.435;98;11.5;5;0.26
09:26:30.435;100;11.8;7;0.27
09:26:31.435;101;11.8;8;0.21
09:26:32.435;103;12.4;7;0.25
09:26:33.435;105;12.4;6;0.22
09:26:34.435;105;13.3;5;0.19
09:26:35.435;105;13.3;4;0.20
09:26:36.435;99;14.3;3;0.19
09:26:37.435;96;14.3;3;0.18
09:26:38.435;93;15.3;3;0.20
09:26:39.435;90;15.3;4;0.22
09:26:40.435;89;16.8;-3;0.18
09:26:41.435;88;16.8;-3;0.19
09:26:42.435;88;17.8;-4;0.21
09:26:43.435;88;17.8;4;0.18
09:26:44.435;88;19.0;4;0.18
09:26:45.435;90;19.0;4;0.19
09:26:46.435;93;19.8;1;0.20
09:26:47.435;96;19.8;6;0.19
09:26:48.435;99;20.2;5;0.17
09:26:49.435;99;20.2;18;0.37
09:26:50.435;96;20.6;23;0.15
09:26:51.435;92;20.6;19;0.12
09:26:52.435;89;21.1;20;0.20
09:26:53.435;88;21.1;19;0.10
09:26:54.435;85;21.5;20;0.07
09:26:55.435;85;21.5;15;0.25
09:26:56.435;90;21.9;10;0.22
09:26:57.435;94;21.9;8;0.08
09:26:58.435;96;22.4;5;0.11
09:26:59.435;99;22.4;7;0.07
09:27:00.435;102;22.7;6;0.15
09:27:01.435;103;22.7;6;0.20
09:27:02.435;103;20.7;9;0.39
09:27:03.435;100;20.7;-3;0.47
09:27:04.435;96;19.1;3;0.16
09:27:05.435;96;19.1;7;0.11
09:27:06.435;96;17.8;7;0.07
09:27:07.435;94;17.8;8;0.06
09:27:08.435;95;16.9;8;0.05
09:27:09.435;94;16.9;8;0.05
09:27:10.435;96;16.1;10;0.03
09:27:11.435;94;16.1;8;0.11
09:27:12.435;90;15.5;7;0.06
09:27:13.435;88;15.5;7;0.04
09:27:14.435;87;15.0;7;0.03
09:27:15.435;89;15.0;5;0.04
09:27:16.435;90;13.8;4;0.06
09:27:17.435;93;13.8;7;0.13
09:27:18.435;90;12.7;3;0.18
09:27:19.435;87;12.7;1;0.13
09:27:20.435;88;12.1;2;0.07
09:27:21.435;88;12.1;4;0.07
09:27:22.435;91;11.5;6;0.14
09:27:23.435;95;11.5;8;0.09
09:27:24.435;97;10.9;8;0.04
09:27:25.435;100;10.9;8;0.05
09:27:26.435;97;10.4;8;0.05
09:27:27.435;93;10.4;10;0.04
09:27:28.435;89;10.3;8;0.06
09:27:29.435;87;10.3;-3;0.34
09:27:30.435;88;10.2;-8;0.14
09:27:31.435;87;10.2;-12;0.11
09:27:32.435;88;10.2;-13;0.06
09:27:33.435;89;10.2;-4;0.23
09:27:34.435;88;10.2;1;0.12
09:27:35.435;89;10.2;-2;0.09
09:27:36.435;90;10.3;-8;0.18
09:27:37.435;90;10.3;-10;0.08
09:27:38.435;92;10.5;-10;0.09
09:27:39.435;92;10.5;-11;0.04
09:27:40.435;88;10.7;-12;0.02
09:27:41.435;86;10.7;-10;0.06
09:27:42.435;86;9.6;-12;0.06
09:27:43.435;87;9.6;-14;0.07
09:27:44.435;90;8.7;-13;0.12
09:27:45.435;92;8.7;-12;0.06
09:27:46.435;90;8.1;-10;0.08
09:27:47.435;86;8.1;-13;0.11
09:27:48.435;88;7.6;-14;0.09
09:27:49.435;92;7.6;-12;0.09
09:27:50.435;96;7.5;-8;0.11
09:27:51.435;96;7.5;-8;0.07
09:27:52.435;95;7.6;-8;0.10
09:27:53.435;94;7.6;-10;0.07
09:27:54.435;96;7.7;-10;0.04
09:27:55.435;96;7.7;-12;0.06
09:27:56.435;92;8.2;-13;0.06
09:27:57.435;87;8.2;-14;0.05
09:27:58.435;87;8.5;-15;0.07
09:27:59.435;87;8.5;-17;0.07
09:28:00.435;84;9.2;-19;0.13
09:28:01.435;85;9.2;-20;0.04
09:28:02.435;86;9.8;-19;0.02
09:28:03.435;89;9.8;-19;0.03
09:28:04.435;92;10.3;-19;0.05
09:28:05.435;97;10.3;-17;0.11
09:28:06.435;95;10.8;-15;0.24
09:28:07.435;92;10.8;-17;0.21
09:28:08.435;89;11.2;-17;0.11
09:28:09.435;85;11.2;-15;0.09
09:28:10.435;83;11.6;-17;0.08
09:28:11.435;82;11.6;-18;0.09
09:28:12.435;83;11.6;-21;0.13
09:28:13.435;83;11.6;-24;0.12
09:28:14.435;80;12.2;-21;0.08
09:28:15.435;81;12.2;-21;0.12
09:28:16.435;82;12.8;-19;0.06
09:28:17.435;81;12.8;-18;0.07
09:28:18.435;82;13.3;-18;0.12
09:28:19.435;83;13.3;-17;0.07
09:28:20.435;84;13.8;-17;0.07
09:28:21.435;84;13.8;-17;0.04
09:28:22.435;88;14.5;-17;0.04
09:28:23.435;85;14.5;-17;0.09
09:28:24.435;85;15.5;-14;0.08
09:28:25.435;84;15.5;-15;0.04
09:28:26.435;84;16.3;-15;0.05
09:28:27.435;85;16.3;-11;0.08
09:28:28.435;87;17.1;-15;0.08
09:28:29.435;88;17.1;-16;0.06
09:28:30.435;88;17.5;-17;0.02
09:28:31.435;87;17.5;-17;0.05
09:28:32.435;86;17.8;-17;0.03
09:28:33.435;87;17.8;-17;0.02
09:28:34.435;84;17.8;-16;0.01
09:28:35.435;84;17.8;-15;0.04
09:28:36.435;83;17.8;-17;0.06
09:28:37.435;82;17.8;-17;0.02
09:28:38.435;82;17.8;-17;0.02
09:28:39.435;84;17.8;-18;0.01
09:28:40.435;83;17.9;-18;0.01
09:28:41.435;81;17.9;-18;0.01
09:28:42.435;81;17.6;-18;0.01
09:28:43.435;78;17.6;-18;0.01
09:28:44.435;76;17.3;-18;0.01
09:28:45.435;74;17.3;-18;0.01
09:28:46.435;76;16.8;-18;0.01
09:28:47.435;76;16.8;-18;0.01
09:28:48.435;76;16.6;-18;0.01
09:28:49.435;74;16.6;-17;0.01
09:28:50.435;78;16.5;-18;0.01
09:28:51.435;81;16.5;-17;0.01
09:28:52.435;81;16.6;-17;0.01
09:28:53.435;78;16.6;-17;0.01
09:28:54.435;77;16.5;-17;0.01
09:28:55.435;76;16.5;-17;0.01
09:28:56.435;72;16.3;-17;0.01
09:28:57.435;72;16.3;-17;0.01
09:28:58.435;74;16.2;-18;0.02
09:28:59.435;71;16.2;-17;0.01
09:29:00.435;72;16.1;-17;0.01
09:29:01.435;74;16.1;-17;0.01
09:29:02.435;73;16.0;-17;0.01
09:29:03.435;71;16.0;-16;0.01
09:29:04.435;69;15.9;-16;0.01
09:29:05.435;71;15.9;-17;0.01
09:29:06.435;71;16.1;-17;0.01
09:29:07.435;69;16.1;-17;0.01
09:29:08.435;68;16.0;-17;0.01
09:29:09.435;68;16.0;-18;0.01
09:29:10.435;72;15.9;-18;0.01
09:29:11.435;73;15.9;-17;0.01
09:29:12.435;74;15.8;-18;0.01
09:29:13.435;78;15.8;-18;0.01
09:29:14.435;75;16.0;-17;0.01
09:29:15.435;72;16.0;-18;0.01
09:29:16.435;72;15.9;-17;0.01
09:29:17.435;73;15.9;-18;0.01
09:29:18.435;71;16.1;-18;0.01
09:29:19.435;75;16.1;-17;0.02
09:29:20.435;77;16.3;-17;0.01
09:29:21.435;78;16.3;-17;0.02
09:29:22.435;81;16.5;-18;0.02
09:29:23.435;84;16.5;-18;0.02
09:29:24.435;81;16.6;-17;0.01
09:29:25.435;78;16.6;-17;0.01
09:29:26.435;74;16.5;-17;0.01
09:29:27.435;73;16.5;-17;0.02
09:29:28.435;73;16.6;-18;0.01
09:29:29.435;74;16.6;-18;0.01
09:29:30.435;72;17.0;-18;0.01
09:29:31.435;76;17.0;-19;0.02
09:29:32.435;81;17.1;-19;0.01
09:29:33.435;81;17.1;-19;0.01
09:29:34.435;80;17.2;-18;0.01
09:29:35.435;78;17.2;-18;0.02
09:29:36.435;76;17.3;-18;0.02
09:29:37.435;76;17.3;-19;0.02
09:29:38.435;75;17.4;-18;0.02
09:29:39.435;78;17.4;-19;0.03
09:29:40.435;80;17.1;-19;0.02
09:29:41.435;83;17.1;-19;0.02
09:29:42.435;80;16.9;-19;0.02
09:29:43.435;79;16.9;-19;0.01
09:29:44.435;77;16.7;-19;0.02
09:29:45.435;72;16.7;-19;0.02
09:29:46.435;70;16.6;-19;0.02
09:29:47.435;70;16.6;-19;0.01
09:29:48.435;73;16.4;-19;0.01
09:29:49.435;74;16.4;-19;0.01
09:29:50.435;73;16.0;-18;0.01
09:29:51.435;75;16.0;-18;0.03
09:29:52.435;74;15.9;-18;0.03
09:29:53.435;74;15.9;-12;0.22
09:29:54.435;78;15.5;15;0.25
09:29:55.435;79;15.5;17;0.08
09:29:56.435;80;15.5;18;0.04
09:29:57.435;79;15.5;17;0.05
09:29:58.435;79;15.4;-12;0.26
09:29:59.435;81;15.4;-12;0.17
09:30:00.435;87;15.4;-13;0.08
09:30:01.435;91;15.4;-14;0.03
09:30:02.435;94;15.6;-14;0.02
09:30:03.435;96;15.6;-15;0.02
09:30:04.435;98;15.9;-15;0.03
09:30:05.435;95;15.9;-15;0.04
09:30:06.435;91;16.4;-16;0.04
09:30:07.435;87;16.4;-17;0.03
09:30:08.435;83;16.8;-17;0.02
09:30:09.435;76;16.8;-17;0.02
09:30:10.435;77;17.5;-17;0.01
09:30:11.435;77;17.5;-17;0.01
09:30:12.435;75;17.9;-17;0.01
09:30:13.435;76;17.9;-18;0.01
09:30:14.435;77;18.5;-18;0.01
09:30:15.435;73;18.5;-17;0.02
09:30:16.435;72;18.7;-18;0.01
09:30:17.435;76;18.7;-18;0.01
09:30:18.435;75;19.0;-15;0.09
09:30:19.435;74;19.0;-15;0.08
09:30:20.435;75;19.5;-15;0.04
09:30:21.435;75;19.5;-15;0.02
09:30:22.435;76;19.9;-16;0.01
09:30:23.435;77;19.9;-16;0.01
09:30:24.435;77;20.3;-16;0.01
09:30:25.435;75;20.3;-16;0.01
09:30:26.435;75;20.4;-17;0.01
09:30:27.435;74;20.4;-17;0.01
09:30:28.435;72;20.4;-16;0.01
09:30:29.435;70;20.4;-16;0.01
09:30:30.435;72;20.5;-16;0.01
09:30:31.435;70;20.5;-16;0.01
09:30:32.435;68;20.5;-16;0.01
09:30:33.435;69;20.5;-16;0.01
09:30:34.435;70;20.6;-16;0.01
09:30:35.435;70;20.6;-16;0.01
09:30:36.435;68;20.6;-16;0.01
09:30:37.435;69;20.6;-16;0.01
09:30:38.435;71;20.6;-16;0.01
09:30:39.435;71;20.6;-16;0.01
09:30:40.435;70;20.4;-16;0.01
09:30:41.435;73;20.4;-16;0.01
09:30:42.435;72;20.2;-16;0.01
09:30:43.435;70;20.2;-16;0.01
09:30:44.435;71;19.6;-16;0.01
09:30:45.435;72;19.6;-16;0.01
09:30:46.435;71;19.5;-16;0.01
09:30:47.435;73;19.5;-16;0.01
09:30:48.435;73;19.3;-15;0.01
09:30:49.435;72;19.3;-15;0.01
09:30:50.435;72;18.9;-16;0.01
09:30:51.435;73;18.9;-16;0.01
09:30:52.435;71;18.8;-16;0.01
09:30:53.435;69;18.8;-16;0.01
09:30:54.435;69;18.4;-16;0.01
09:30:55.435;71;18.4;-16;0.01
09:30:56.435;71;18.4;-16;0.01
09:30:57.435;69;18.4;-15;0.01
09:30:58.435;68;18.1;-16;0.01
09:30:59.435;70;18.1;-15;0.01
09:31:00.435;70;18.1;-15;0.01
09:31:01.435;69;18.1;-16;0.01
09:31:02.435;70;17.8;-16;0.01
09:31:03.435;70;17.8;-15;0.01
09:31:04.435;68;17.8;-15;0.01
09:31:05.435;67;17.8;-15;0.01
09:31:06.435;66;17.5;-15;0.01
09:31:07.435;68;17.5;-15;0.01
09:31:08.435;68;17.3;-15;0.01
09:31:09.435;68;17.3;-15;0.01
09:31:10.435;69;17.0;-15;0.01
09:31:11.435;71;17.0;-16;0.01
09:31:12.435;70;16.8;-15;0.01
09:31:13.435;68;16.8;-15;0.01
09:31:14.435;68;16.7;-15;0.01
09:31:15.435;70;16.7;-15;0.01
09:31:16.435;70;16.5;-15;0.01
09:31:17.435;69;16.5;-15;0.01
09:31:18.435;69;16.4;-15;0.01
09:31:19.435;72;16.4;-15;0.01
09:31:20.435;71;16.2;-15;0.01
09:31:21.435;70;16.2;-15;0.01
09:31:22.435;71;16.1;-15;0.01
09:31:23.435;72;16.1;-15;0.01
09:31:24.435;70;16.0;-15;0.01
09:31:25.435;72;16.0;-15;0.01
09:31:26.435;75;15.9;-15;0.01
09:31:27.435;79;15.9;-15;0.01
09:31:28.435;81;15.8;-15;0.01
09:31:29.435;76;15.8;-15;0.01
09:31:30.435;73;15.7;-15;0.01
09:31:31.435;72;15.7;-15;0.01
09:31:32.435;71;15.7;-15;0.01
09:31:33.435;70;15.7;-15;0.01
09:31:34.435;71;15.6;-15;0.01
09:31:35.435;71;15.6;-15;0.01
09:31:36.435;69;15.5;-15;0.01
09:31:37.435;67;15.5;-15;0.01
09:31:38.435;69;15.5;-15;0.01
09:31:39.435;71;15.5;-15;0.01
09:31:40.435;70;15.5;-15;0.01
09:31:41.435;70;15.5;-15;0.01
09:31:42.435;72;15.4;-15;0.01
09:31:43.435;73;15.4;-15;0.01
09:31:44.435;71;15.4;-15;0.01
