Time;HR;BR;Posture;Activity
09:52:29.426;65;8.1;3;0.12
09:52:30.426;65;8.1;2;0.15
09:52:31.426;65;7.3;1;0.08
09:52:32.426;67;7.3;-2;0.11
09:52:33.426;74;7.6;-1;0.10
09:52:34.426;77;7.6;6;0.21
09:52:35.426;79;7.8;5;0.07
09:52:36.426;71;7.8;7;0.07
09:52:37.426;68;8.1;6;0.07
09:52:38.426;66;8.1;5;0.14
09:52:39.426;66;8.5;7;0.13
09:52:40.426;66;8.5;8;0.15
09:52:41.426;80;7.9;8;0.11
09:52:42.426;99;7.9;8;0.09
09:52:43.426;105;7.5;12;0.11
09:52:44.426;107;7.5;23;0.39
09:52:45.426;107;7.6;27;0.15
09:52:46.426;106;7.6;22;0.13
09:52:47.426;105;7.8;18;0.14
09:52:48.426;102;7.8;15;0.10
09:52:49.426;101;8.1;15;0.08
09:52:50.426;100;8.1;17;0.08
09:52:51.426;100;8.6;21;0.22
09:52:52.426;102;8.6;23;0.27
09:52:53.426;105;8.9;20;0.22
09:52:54.426;105;8.9;22;0.09
09:52:55.426;102;9.3;19;0.09
09:52:56.426;102;9.3;12;0.19
09:52:57.426;102;8.7;12;0.15
09:52:58.426;106;8.7;16;0.17
09:52:59.426;109;8.4;17;0.04
09:53:00.426;109;8.4;15;0.06
09:53:01.426;106;8.5;14;0.07
09:53:02.426;104;8.5;14;0.04
09:53:03.426;97;8.5;15;0.03
09:53:04.426;95;8.5;15;0.03
09:53:05.426;96;8.9;15;0.04
09:53:06.426;99;8.9;12;0.09
09:53:07.426;103;9.5;10;0.11
09:53:08.426;106;9.5;8;0.18
09:53:09.426;104;10.0;10;0.26
09:53:10.426;102;10.0;11;0.23
09:53:11.426;101;10.5;11;0.33
09:53:12.426;100;10.5;12;0.31
09:53:13.426;100;11.0;11;0.36
09:53:14.426;100;11.0;11;0.30
09:53:15.426;99;11.2;11;0.35
09:53:16.426;99;11.2;10;0.36
09:53:17.426;98;11.6;10;0.35
09:53:18.426;97;11.6;10;0.39
09:53:19.426;98;11.9;8;0.36
09:53:20.426;99;11.9;7;0.39
09:53:21.426;100;12.3;7;0.37
09:53:22.426;101;12.3;8;0.37
09:53:23.426;101;12.9;8;0.33
09:53:24.426;102;12.9;8;0.37
09:53:25.426;103;14.0;8;0.38
09:53:26.426;104;14.0;9;0.36
09:53:27.426;105;15.2;10;0.37
09:53:28.426;106;15.2;11;0.38
09:53:29.426;106;16.3;10;0.36
09:53:30.426;105;16.3;8;0.32
09:53:31.426;104;17.3;8;0.32
09:53:32.426;104;17.3;7;0.30
09:53:33.426;104;18.2;6;0.24
09:53:34.426;102;18.2;7;0.23
09:53:35.426;100;18.9;7;0.19
09:53:36.426;99;18.9;7;0.24
09:53:37.426;102;19.6;7;0.22
09:53:38.426;104;19.6;7;0.21
09:53:39.426;105;20.1;8;0.24
09:53:40.426;105;20.1;10;0.19
09:53:41.426;104;20.6;8;0.12
09:53:42.426;104;20.6;10;0.22
09:53:43.426;105;21.0;20;0.34
09:53:44.426;104;21.0;15;0.24
09:53:45.426;103;21.4;20;0.25
09:53:46.426;106;21.4;27;0.21
09:53:47.426;109;21.7;25;0.12
09:53:48.426;107;21.7;18;0.27
09:53:49.426;106;22.0;11;0.19
09:53:50.426;103;22.0;5;0.18
09:53:51.426;101;22.2;6;0.16
09:53:52.426;99;22.2;7;0.19
09:53:53.426;98;22.4;7;0.24
09:53:54.426;96;22.4;8;0.23
09:53:55.426;94;20.4;10;0.24
09:53:56.426;93;20.4;10;0.26
09:53:57.426;90;19.0;8;0.24
09:53:58.426;89;19.0;7;0.20
09:53:59.426;87;17.7;7;0.24
09:54:00.426;86;17.7;6;0.13
09:54:01.426;87;16.8;4;0.08
09:54:02.426;88;16.8;4;0.03
09:54:03.426;90;16.1;-1;0.10
09:54:04.426;90;16.1;-1;0.07
09:54:05.426;89;15.7;-1;0.09
09:54:06.426;87;15.7;-1;0.14
09:54:07.426;86;15.3;2;0.18
09:54:08.426;88;15.3;4;0.24
09:54:09.426;89;15.3;4;0.22
09:54:10.426;90;15.3;6;0.24
09:54:11.426;91;15.8;7;0.19
09:54:12.426;92;15.8;5;0.14
09:54:13.426;90;16.7;6;0.13
09:54:14.426;91;16.7;5;0.17
09:54:15.426;92;17.7;5;0.19
09:54:16.426;91;17.7;6;0.18
09:54:17.426;90;18.6;7;0.21
09:54:18.426;91;18.6;7;0.15
09:54:19.426;93;19.7;7;0.16
09:54:20.426;96;19.7;5;0.07
09:54:21.426;94;20.8;4;0.05
09:54:22.426;92;20.8;4;0.02
09:54:23.426;92;22.0;4;0.02
09:54:24.426;93;22.0;4;0.01
09:54:25.426;96;22.8;2;0.03
09:54:26.426;99;22.8;3;0.03
09:54:27.426;99;23.8;4;0.06
09:54:28.426;94;23.8;5;0.11
09:54:29.426;91;24.4;4;0.03
09:54:30.426;90;24.4;3;0.06
09:54:31.426;88;24.4;5;0.18
09:54:32.426;87;24.4;10;0.16
09:54:33.426;86;24.4;11;0.11
09:54:34.426;87;24.4;11;0.09
09:54:35.426;87;23.7;11;0.06
09:54:36.426;86;23.7;11;0.04
09:54:37.426;87;23.2;7;0.10
09:54:38.426;89;23.2;4;0.06
09:54:39.426;88;22.6;4;0.03
09:54:40.426;86;22.6;3;0.02
09:54:41.426;84;22.2;3;0.05
09:54:42.426;83;22.2;4;0.03
09:54:43.426;86;21.8;3;0.06
09:54:44.426;90;21.8;6;0.14
09:54:45.426;94;21.7;7;0.06
09:54:46.426;91;21.7;7;0.05
09:54:47.426;89;21.6;6;0.04
09:54:48.426;87;21.6;4;0.04
09:54:49.426;86;21.6;3;0.04
09:54:50.426;87;21.6;2;0.02
09:54:51.426;88;21.8;2;0.02
09:54:52.426;88;21.8;2;0.02
09:54:53.426;88;22.0;2;0.02
09:54:54.426;90;22.0;2;0.02
09:54:55.426;91;22.5;2;0.02
09:54:56.426;90;22.5;2;0.02
09:54:57.426;89;23.0;3;0.02
09:54:58.426;87;23.0;3;0.02
09:54:59.426;88;23.4;2;0.06
09:55:00.426;91;23.4;6;0.16
09:55:01.426;90;23.7;4;0.07
09:55:02.426;88;23.7;4;0.04
09:55:03.426;85;23.7;3;0.03
09:55:04.426;84;23.7;4;0.03
09:55:05.426;82;23.8;6;0.08
09:55:06.426;82;23.8;8;0.14
09:55:07.426;85;23.8;10;0.16
09:55:08.426;88;23.8;11;0.20
09:55:09.426;90;23.8;11;0.22
09:55:10.426;95;23.8;12;0.22
09:55:11.426;97;23.8;12;0.22
09:55:12.426;97;23.8;12;0.21
09:55:13.426;95;24.1;12;0.22
09:55:14.426;95;24.1;11;0.24
09:55:15.426;95;24.4;11;0.23
09:55:16.426;94;24.4;11;0.24
09:55:17.426;97;25.0;8;0.23
09:55:18.426;100;25.0;5;0.23
09:55:19.426;102;25.2;4;0.22
09:55:20.426;103;25.2;4;0.22
09:55:21.426;100;25.3;5;0.23
09:55:22.426;98;25.3;4;0.20
09:55:23.426;97;26.1;4;0.21
09:55:24.426;97;26.1;5;0.18
09:55:25.426;99;26.8;7;0.20
09:55:26.426;100;26.8;8;0.13
09:55:27.426;99;27.4;12;0.14
09:55:28.426;95;27.4;10;0.14
09:55:29.426;92;28.3;8;0.21
09:55:30.426;92;28.3;7;0.21
09:55:31.426;93;29.3;7;0.22
09:55:32.426;96;29.3;7;0.22
09:55:33.426;98;30.0;7;0.21
09:55:34.426;99;30.0;8;0.21
09:55:35.426;96;30.6;7;0.18
09:55:36.426;94;30.6;6;0.18
09:55:37.426;92;30.5;7;0.17
09:55:38.426;91;30.5;8;0.15
09:55:39.426;95;30.8;8;0.13
09:55:40.426;99;30.8;8;0.15
09:55:41.426;100;30.7;8;0.18
09:55:42.426;98;30.7;8;0.24
09:55:43.426;94;30.6;8;0.21
09:55:44.426;91;30.6;7;0.24
09:55:45.426;93;30.9;8;0.24
09:55:46.426;92;30.9;8;0.24
09:55:47.426;92;31.4;8;0.25
09:55:48.426;93;31.4;6;0.23
09:55:49.426;92;32.1;8;0.25
09:55:50.426;92;32.1;10;0.22
09:55:51.426;89;32.2;10;0.14
09:55:52.426;89;32.2;12;0.13
09:55:53.426;88;32.0;8;0.13
09:55:54.426;89;32.0;7;0.15
09:55:55.426;90;31.8;7;0.04
09:55:56.426;91;31.8;6;0.02
09:55:57.426;91;31.6;6;0.02
09:55:58.426;91;31.6;6;0.03
09:55:59.426;94;31.2;6;0.02
09:56:00.426;97;31.2;6;0.01
09:56:01.426;98;31.1;6;0.02
09:56:02.426;98;31.1;8;0.12
09:56:03.426;98;31.0;10;0.17
09:56:04.426;97;31.0;10;0.14
09:56:05.426;92;30.6;10;0.17
09:56:06.426;89;30.6;11;0.11
09:56:07.426;86;29.9;12;0.14
09:56:08.426;86;29.9;12;0.06
09:56:09.426;86;29.0;10;0.13
09:56:10.426;91;29.0;8;0.06
09:56:11.426;93;28.8;8;0.03
09:56:12.426;93;28.8;7;0.03
09:56:13.426;95;28.6;6;0.04
09:56:14.426;95;28.6;6;0.02
09:56:15.426;95;28.5;6;0.02
09:56:16.426;96;28.5;6;0.01
09:56:17.426;94;28.6;6;0.03
09:56:18.426;94;28.6;6;0.07
09:56:19.426;98;29.1;6;0.03
09:56:20.426;100;29.1;5;0.03
09:56:21.426;99;29.5;6;0.02
09:56:22.426;97;29.5;6;0.02
09:56:23.426;93;29.5;6;0.02
09:56:24.426;91;29.5;6;0.02
09:56:25.426;90;29.6;7;0.11
09:56:26.426;92;29.6;7;0.19
09:56:27.426;97;29.3;8;0.25
09:56:28.426;100;29.3;7;0.28
09:56:29.426;101;29.4;7;0.30
09:56:30.426;98;29.4;8;0.27
09:56:31.426;96;29.2;8;0.28
09:56:32.426;96;29.2;7;0.29
09:56:33.426;96;29.1;7;0.29
09:56:34.426;94;29.1;7;0.28
09:56:35.426;94;29.0;7;0.19
09:56:36.426;94;29.0;7;0.23
09:56:37.426;92;28.9;7;0.33
09:56:38.426;92;28.9;7;0.29
09:56:39.426;93;28.9;7;0.27
09:56:40.426;94;28.9;7;0.27
09:56:41.426;93;28.9;7;0.27
09:56:42.426;93;28.9;7;0.23
09:56:43.426;95;29.2;5;0.19
09:56:44.426;95;29.2;4;0.11
09:56:45.426;95;29.3;4;0.16
09:56:46.426;99;29.3;7;0.18
09:56:47.426;102;29.3;8;0.17
09:56:48.426;105;29.3;10;0.13
09:56:49.426;108;29.3;10;0.12
09:56:50.426;110;29.3;8;0.23
09:56:51.426;109;29.2;9;0.27
09:56:52.426;110;29.2;8;0.26
09:56:53.426;108;29.2;7;0.25
09:56:54.426;104;29.2;6;0.23
09:56:55.426;98;26.5;6;0.26
09:56:56.426;97;26.5;6;0.23
09:56:57.426;96;24.5;6;0.28
09:56:58.426;102;24.5;7;0.42
09:56:59.426;106;22.7;7;0.28
09:57:00.426;106;22.7;7;0.25
09:57:01.426;105;21.1;7;0.22
09:57:02.426;99;21.1;8;0.18
09:57:03.426;94;19.8;9;0.19
09:57:04.426;93;19.8;8;0.24
09:57:05.426;95;18.6;7;0.25
09:57:06.426;99;18.6;7;0.26
09:57:07.426;101;17.6;8;0.26
09:57:08.426;101;17.6;8;0.27
09:57:09.426;100;16.6;8;0.25
09:57:10.426;99;16.6;8;0.26
09:57:11.426;97;15.8;7;0.28
09:57:12.426;96;15.8;7;0.28
09:57:13.426;95;14.2;6;0.26
09:57:14.426;96;14.2;6;0.27
09:57:15.426;97;13.1;6;0.27
09:57:16.426;98;13.1;6;0.27
09:57:17.426;100;12.7;7;0.27
09:57:18.426;102;12.7;7;0.30
09:57:19.426;101;12.9;7;0.31
09:57:20.426;101;12.9;7;0.30
09:57:21.426;102;13.2;7;0.28
09:57:22.426;102;13.2;7;0.33
09:57:23.426;101;13.4;7;0.39
09:57:24.426;100;13.4;7;0.32
09:57:25.426;99;13.8;5;0.28
09:57:26.426;98;13.8;6;0.28
09:57:27.426;100;14.3;5;0.27
09:57:28.426;103;14.3;4;0.29
09:57:29.426;104;14.8;7;0.25
09:57:30.426;103;14.8;8;0.28
09:57:31.426;104;15.2;8;0.29
09:57:32.426;105;15.2;7;0.27
09:57:33.426;105;15.8;6;0.28
09:57:34.426;105;15.8;5;0.27
09:57:35.426;103;16.5;6;0.26
09:57:36.426;103;16.5;6;0.26
09:57:37.426;105;17.1;6;0.25
09:57:38.426;106;17.1;6;0.26
09:57:39.426;105;17.8;7;0.27
09:57:40.426;104;17.8;6;0.27
09:57:41.426;105;18.4;7;0.27
09:57:42.426;104;18.4;7;0.28
09:57:43.426;103;19.1;8;0.17
09:57:44.426;102;19.1;9;0.15
09:57:45.426;103;19.8;12;0.38
09:57:46.426;105;19.8;-3;0.39
09:57:47.426;107;20.3;-2;0.17
09:57:48.426;109;20.3;-7;0.26
09:57:49.426;108;20.9;7;0.03
09:57:50.426;107;20.9;8;0.11
09:57:51.426;106;21.4;10;0.07
09:57:52.426;105;21.4;12;0.12
09:57:53.426;105;21.7;7;0.21
09:57:54.426;104;21.7;8;0.06
09:57:55.426;102;22.2;7;0.05
09:57:56.426;99;22.2;6;0.07
09:57:57.426;98;22.6;2;0.10
09:57:58.426;101;22.6;1;0.07
09:57:59.426;101;20.9;1;0.07
09:58:00.426;99;20.9;1;0.05
09:58:01.426;95;19.7;1;0.04
09:58:02.426;92;19.7;1;0.04
09:58:03.426;90;19.0;1;0.04
09:58:04.426;88;19.0;3;0.06
09:58:05.426;88;18.3;1;0.09
09:58:06.426;93;18.3;-1;0.09
09:58:07.426;97;18.0;0;0.15
09:58:08.426;97;18.0;1;0.04
09:58:09.426;98;17.7;1;0.03
09:58:10.426;97;17.7;1;0.06
09:58:11.426;95;17.7;1;0.03
09:58:12.426;95;17.7;1;0.03
09:58:13.426;93;18.0;1;0.04
09:58:14.426;90;18.0;3;0.13
09:58:15.426;88;18.6;5;0.11
09:58:16.426;87;18.6;3;0.11
09:58:17.426;87;19.4;4;0.06
09:58:18.426;88;19.4;3;0.06
09:58:19.426;90;19.9;3;0.06
09:58:20.426;91;19.9;1;0.09
09:58:21.426;87;20.3;2;0.06
09:58:22.426;85;20.3;4;0.11
09:58:23.426;85;20.4;7;0.13
09:58:24.426;89;20.4;5;0.18
09:58:25.426;94;20.7;-2;0.22
09:58:26.426;95;20.7;-2;0.08
09:58:27.426;90;20.8;-1;0.05
09:58:28.426;88;20.8;2;0.13
09:58:29.426;88;21.1;6;0.12
09:58:30.426;87;21.1;8;0.08
09:58:31.426;85;21.4;7;0.11
09:58:32.426;86;21.4;6;0.05
09:58:33.426;86;21.6;5;0.07
09:58:34.426;86;21.6;5;0.11
09:58:35.426;85;21.6;4;0.10
09:58:36.426;86;21.6;4;0.12
09:58:37.426;83;21.8;3;0.07
09:58:38.426;82;21.8;3;0.05
09:58:39.426;82;21.7;4;0.14
09:58:40.426;85;21.7;3;0.18
09:58:41.426;87;21.4;4;0.06
09:58:42.426;87;21.4;3;0.06
09:58:43.426;87;21.3;1;0.12
09:58:44.426;82;21.3;-2;0.08
09:58:45.426;77;21.0;3;0.08
09:58:46.426;76;21.0;4;0.12
09:58:47.426;81;21.0;8;0.15
09:58:48.426;84;21.0;4;0.15
09:58:49.426;83;21.3;5;0.07
09:58:50.426;85;21.3;4;0.09
09:58:51.426;85;21.3;7;0.08
09:58:52.426;85;21.3;6;0.09
09:58:53.426;86;21.3;5;0.05
09:58:54.426;88;21.3;3;0.13
09:58:55.426;91;21.5;3;0.06
09:58:56.426;91;21.5;2;0.07
09:58:57.426;89;21.5;2;0.05
09:58:58.426;86;21.5;2;0.07
09:58:59.426;84;21.7;1;0.05
09:59:00.426;82;21.7;1;0.05
09:59:01.426;84;22.2;1;0.08
09:59:02.426;84;22.2;2;0.04
09:59:03.426;86;22.7;2;0.05
09:59:04.426;88;22.7;1;0.03
09:59:05.426;88;23.4;2;0.03
09:59:06.426;85;23.4;2;0.07
09:59:07.426;86;23.8;1;0.05
09:59:08.426;85;23.8;-1;0.06
09:59:09.426;84;23.8;1;0.05
09:59:10.426;86;23.8;2;0.02
09:59:11.426;86;23.8;2;0.02
09:59:12.426;84;23.8;2;0.02
09:59:13.426;84;23.5;3;0.05
09:59:14.426;85;23.5;4;0.04
09:59:15.426;85;23.3;4;0.03
09:59:16.426;83;23.3;3;0.02
