1582046379.000000, 1582046379.000000, 1582046379.000000
32.000000, 32.000000, 32.000000
-72,-10,-5
-74,-11,-1
-80,-12,-1
-80,-14,-3
-77,-16,-2
-74,-17,1
-73,-18,1
-72,-20,1
-70,-24,3
-72,-26,0
-72,-29,1
-69,-29,3
-60,-23,0
-56,-27,1
-57,-30,3
-62,-30,8
-64,-32,8
-59,-30,2
-48,-28,-2
-46,-26,0
-40,-37,6
-51,-35,9
-52,-36,10
-45,-35,8
-38,-35,4
-38,-30,3
-28,-33,10
-32,-41,14
-43,-42,17
-45,-45,18
-33,-38,16
-19,-42,17
-27,-45,19
-19,-50,32
-31,-50,36
-35,-46,35
-28,-47,35
-24,-45,32
-18,-44,31
-20,-42,34
-16,-45,37
-22,-53,33
-25,-53,33
-23,-48,31
-15,-47,33
-15,-47,34
-18,-47,37
-17,-49,37
-16,-51,34
-16,-49,34
-13,-49,36
-14,-46,35
-16,-46,34
-14,-47,33
-12,-53,31
-14,-56,29
-16,-55,32
-16,-52,34
-17,-51,34
-19,-50,36
-18,-52,36
-19,-52,36
-19,-49,37
-18,-48,37
-15,-53,35
-18,-53,36
-19,-53,35
-16,-54,32
-16,-53,30
-17,-52,29
-15,-53,30
-15,-52,30
-15,-53,30
-15,-53,29
-16,-55,29
-16,-54,30
-16,-53,31
-17,-52,32
-21,-51,31
-21,-51,31
-18,-50,32
-17,-46,33
-13,-45,36
-14,-53,30
-17,-55,27
-20,-59,28
-20,-55,30
-9,-54,34
-17,-50,38
-17,-50,39
-15,-55,34
-22,-57,27
-23,-51,28
-13,-45,29
-11,-47,30
-14,-42,36
-14,-51,33
-18,-57,29
-25,-57,26
-26,-54,25
-17,-52,28
-14,-53,31
-15,-53,33
-16,-57,33
-13,-60,27
-12,-61,25
-12,-62,22
-13,-61,25
-14,-58,32
-16,-58,32
-14,-60,30
-14,-58,30
-14,-55,31
-14,-54,30
-18,-53,29
-18,-53,29
-14,-51,31
-11,-50,32
-10,-48,34
-11,-46,35
-11,-46,34
-10,-50,29
-12,-53,28
-12,-54,29
-13,-55,32
-12,-55,33
-14,-56,35
-20,-55,33
-20,-57,32
-18,-57,29
-17,-55,29
-16,-52,30
-18,-54,35
-19,-53,36
-20,-53,35
-22,-53,32
-22,-52,31
-18,-51,28
-18,-51,27
-16,-51,25
-16,-57,20
-20,-59,19
-22,-56,20
-21,-56,21
-17,-55,26
-18,-53,32
-18,-53,33
-17,-55,27
-21,-56,21
-21,-55,21
-19,-51,23
-18,-52,26
-18,-52,30
-17,-55,32
-18,-56,31
-21,-58,27
-22,-56,26
-20,-53,25
-20,-52,28
-20,-53,30
-19,-53,33
-18,-54,33
-22,-53,32
-24,-52,30
-24,-52,29
-28,-52,30
-31,-49,34
-30,-47,34
-26,-43,31
-26,-43,29
-27,-45,26
-27,-47,30
-25,-48,33
-25,-50,37
-26,-51,36
-28,-53,31
-27,-53,28
-25,-52,28
-22,-49,29
-22,-47,29
-22,-47,28
-22,-48,27
-22,-49,27
-25,-48,30
-24,-48,35
-24,-49,35
-27,-48,33
-27,-48,32
-27,-46,29
-29,-47,26
-33,-47,24
-41,-47,22
-46,-43,20
-45,-42,19
-47,-44,16
-48,-43,16
-51,-40,18
-47,-40,20
-47,-40,20
-50,-41,19
-52,-40,18
-52,-39,17
-51,-38,16
-52,-38,15
-54,-37,15
-54,-35,17
-52,-36,17
-54,-35,17
-55,-36,18
-60,-36,22
-58,-33,25
-54,-34,25
-52,-35,22
-52,-35,20
-49,-36,18
-52,-37,18
-53,-37,20
-54,-36,25
-53,-35,26
-51,-34,27
-51,-34,27
-51,-34,27
-48,-35,28
-47,-35,27
-45,-35,27
-42,-37,26
-41,-38,26
-40,-38,28
-38,-38,31
-38,-39,31
-37,-40,33
-38,-40,34
-38,-40,36
-37,-41,36
-36,-41,35
-36,-43,34
-35,-41,33
-36,-40,32
-34,-40,30
-34,-40,29
-34,-41,29
-35,-42,28
-35,-43,29
-35,-43,30
-35,-43,30
-35,-43,30
-38,-44,31
-39,-43,32
-40,-43,34
-40,-43,35
-40,-41,34
-39,-41,33
-40,-41,32
-38,-40,32
-35,-41,32
-34,-44,32
-33,-46,32
-32,-48,33
-30,-48,36
-27,-48,34
-26,-48,34
-25,-48,32
-25,-48,30
-25,-48,28
-26,-48,27
-24,-49,27
-25,-50,27
-24,-52,26
-23,-54,27
-24,-54,29
-24,-54,31
-27,-53,32
-25,-53,33
-24,-52,32
-24,-49,30
-22,-49,28
-19,-47,26
-19,-48,27
-20,-48,28
-18,-50,32
-17,-53,35
-16,-54,35
-18,-55,35
-19,-53,35
-19,-52,34
-19,-51,34
-21,-50,34
-22,-53,35
-19,-56,39
-19,-57,42
-22,-56,48
-22,-55,49
-21,-52,42
-19,-43,31
-17,-40,26
-18,-38,22
-18,-37,22
-17,-40,31
-17,-42,40
-17,-44,43
-19,-48,44
-20,-49,41
-17,-48,36
-16,-46,33
-17,-46,34
-14,-45,35
-14,-47,35
-14,-49,35
-16,-54,38
-18,-55,42
-20,-57,44
-22,-57,40
-24,-56,36
-27,-57,28
-27,-60,25
-29,-62,25
-24,-53,26
-18,-51,26
-17,-51,24
-23,-52,23
-23,-52,23
-18,-50,23
-15,-50,24
-14,-52,25
-19,-55,25
-20,-55,25
-16,-54,26
-13,-54,26
-12,-53,26
-14,-54,26
-14,-55,26
-14,-56,26
-13,-56,29
-13,-56,32
-15,-58,34
-16,-59,35
-13,-63,35
-15,-66,39
-20,-68,38
-33,-60,36
-34,-50,31
-26,-41,23
-21,-41,20
-22,-42,20
-21,-42,31
-19,-44,35
-17,-47,39
-19,-50,32
-18,-52,28
-15,-53,26
-14,-50,31
-14,-48,33
-11,-48,35
-11,-50,33
-11,-57,31
-12,-63,36
-12,-63,38
-13,-59,38
-13,-57,32
-16,-64,22
-17,-64,19
-16,-61,20
-16,-56,21
-18,-56,24
-20,-55,24
-17,-51,25
-15,-50,23
-6,-49,23
-9,-53,20
-12,-54,20
-16,-56,21
-14,-57,23
-11,-56,28
-11,-57,30
-14,-58,30
-16,-60,29
-18,-60,31
-17,-62,32
-16,-65,37
-18,-64,40
-24,-54,39
-24,-48,29
-24,-47,27
-20,-42,29
-13,-47,33
-11,-46,36
-10,-45,35
-10,-44,34
-9,-45,34
-16,-52,35
-19,-51,36
-14,-48,39
-9,-47,40
-9,-50,38
-9,-54,41
-11,-53,43
-14,-50,41
-16,-49,42
-17,-50,42
-29,-58,41
-31,-59,42
-26,-53,39
-14,-44,33
-13,-44,33
-28,-48,35
-32,-48,35
-24,-45,30
-14,-42,32
-13,-40,36
-7,-43,31
-13,-44,29
-18,-45,34
-8,-46,40
-9,-44,36
-24,-29,41
-40,-25,42
-36,-27,36
-34,-19,43
-58,-7,43
-61,-6,46
-15,-10,53
-15,2,53
-80,32,47
-79,30,46
-40,17,57
-36,17,52
-41,20,53
-40,21,49
-39,19,49
-41,18,48
-36,17,47
-36,19,48
